mincan_id,namemine,town,province,latitude,longitude,commodityall,information,mine_status,operation_periods,main_id
QC-MINCAN-11bf4a1e,Doyon or Silverstack,Cadillac ,Quebec,48.2557,-78.519197,Gold,"Even more companies : Barrick Gold, Cambior, ...The Doyon site was the subject of more intense prospecting in the 1960’s by the prospector Arthur Doyon. In 1972, it became the co-property of Silverstack Mines Company Ltd and of SOQUEM, which carried out exploration works between 1972 and 1975. In 1977, Long Lac Mineral Exploration Ltd (Lac Minerals Ltd) took over Silverstack Mines Ltd, and a drilling survey of 120 holes brought the Doyon deposit into production in February 1980. In 1983, a surface exploration campaign led to the discovery of Doyon West Zones.
The Cadillac-Bousquet region in northwestern Québec has been a productive mining centre for over 100 years and still holds great potential. In 1972, it became the co-property of Silverstack Mines Company Ltd. and the Québec government controlled Soquem Inc., which carried out exploration between 1972 and 1975. In 1975 Long Lac Mineral Exploration Ltd (Lac Minerals Ltd), took over Silverstack’s interest. Commercial open pit mining began at the Doyon Mine in 1980, and while underground mining commenced in 1985, the full transition to a wholly underground operation was completed in early 1989. The Doyon Gold Mine has been a significant producer of gold for the past 30 years having produced over 5 million ounces of gold.
 
In 1986, Cambior Inc. acquired an initial 50% interest in the Doyon Gold Mine and 100% of the Mouska property in connection with the privatisation of most of Soquem’s assets. Cambior became the sole owner of the Doyon Gold Mine by acquiring the remaining 50% interest from Barrick Gold in 1998.
 
Underground exploration at Mouska began in October 1987, pre-production development followed in May 1990 and commercial production commenced in July 1991.  IAMGOLD acquired the Doyon Division including both the Doyon Gold Mine and Mouska Gold Mine through its merger with Cambior in November 2006.
 
The Doyon mine ended operations in December 2009. In the fourth quarter of 2009, the Company approved a program to extend the life of the Mouska Mine to early 2012, through the use of paste backfill produced from the Doyon paste plant.",Inactive,1980–2009,
ON-MINCAN-7b16c0c2,Kremzar ,,Ontario,51.05136,-94.24474,Gold,,Inactive,1981–1988,
ON-MINCAN-dbb37b4f,,Ingersoll,Ontario,43.0378437120556,-80.8841350608697,Lime,unclear ownership as for other Ingersoll entry,Inactive,1990–2000,
ON-MINCAN-bc53b407,Onaping/Craig,,Ontario,46.6441,-81.3669,"Nickel, Copper, Cobalt, Platinum, Gold, Silver, Selenium, Tellurium",,Inactive,1994–2009,
QC-MINCAN-888e6db5,Croinor,Val d'Or,Quebec,48.110195,-77.018181,Gold,p. 21 'history' https://assets.website-files.com/5787b0e39bdd7b7161e7fd98/5dcc7ee1547376573adff622_MQR_2019_AIF.pdf,Inactive,2004–2005,
SK-MINCAN-5cc72a2d,Vascoy (Rocanville Division),Vanscoy,Saskatchewan,52.01,-107.08,"Potash, Salt",,Active,1971–2014; 2015–open,
SK-MINCAN-281f0f90,McClean Lake,McMahon,Saskatchewan,58.261669,-103.803054822356,Uranium,,Inactive,1999–2010,
MB-MINCAN-741a8c99,,Bird River,Manitoba,50.469166666666666,-95.44555555555556,"Nickel, Copper",,Inactive,1922–1974,
MB-MINCAN-7761330d,Flin Flon,Flin Flon ,Manitoba,56.7545,-101.069493,"Copper, Zinc, Slerium, Tellerium, Gold",,Inactive,1929–1990,
NS-MINCAN-38a6ff45,Brookfield,Truro,Nova Scotia,45.272512,-63.2406018526383,"Barite, Barium, Siderite","Re-opening of barite mine by Nystone Chemicals, Brookfield, Nova Scotia",Inactive,1944–2008,
QC-MINCAN-178d9a5e,Icon Sullivan,Chibougamau ,Quebec,50.238014,-73.811065,"Copper, Silver, Zinc",,Inactive,1967–1976,
SK-MINCAN-167cf44a,,Alsask ,Saskatchewan,51.339285,-109.865144706772,Sodium Sulphate,,Inactive,1967–1971,
SK-MINCAN-a2ba0470,Hanson Lake,Hanson Lake ,Saskatchewan,54.6749965402056,-102.849441921105,"Zinc, Lead, Copper, Silver",,Inactive,1967–1969,
BC-MINCAN-3d2c5b89,Alice Arm,Kitsault ,British Columbia,55.421943,-129.41944,"Molybdenum, Silver, Lead, Zinc, Copper, Tungsten",,Inactive,1967–1982,
QC-MINCAN-96011c31,Wasamac 2,Arntfield ,Quebec,48.212151,-79.198681,"Gold, Copper, Silver",,Inactive,1968–1988; 1998–2001,
MB-MINCAN-22c51d81,Bernic Lake,Lac du Bonnet ,Manitoba,50.42861111111111,-95.4525,"Tantalum, Cesium",,Inactive,1969–2016,
NS-MINCAN-1f581847,Phalen,New Waterford,Nova Scotia,46.2531427413166,-60.090546881297,Coal,"Closing of Devco’s Phalen Colliery, New Waterford, Cape Breton Island, Nova Scotia 1999 ",Inactive,1970–1976,
QC-MINCAN-0ba394e8,,Cadillac ,Quebec,48.24999,-79.0164,"Copper, Gold, Silver, Selenium, Tellurium, Pyrite",,Inactive,1970–1980,
QC-MINCAN-f506b88c,,,Quebec,49.452351,-76.502154,Iron,,Inactive,1970–1971,
SK-MINCAN-3f1bcdcb,,Belle Plaine ,Saskatchewan,50.3937344175792,-105.15576252378,Salt,,Active,1970–open,
SK-MINCAN-cbfb59a3,Rocanville Division,Rocanville,Saskatchewan,50.458098,-101.533499428582,Potash,,Active,1970–open,
MB-MINCAN-5dc8e1cc,Manibridge,Wabowden,Manitoba,54.70222222222223,-98.83722222222222,"Nickel, Copper",,Inactive,1971–1977,
YT-MINCAN-84f30fdf,Plata ,,Yukon,63.58583333333333,-132.03194444444446,"Silver, Lead, Gold",,Inactive,1972–2009,
ON-MINCAN-7763265b,Haileybury,Lake Timiskaming ,Ontario,47.4540811277114,-79.6736342409021,"Limestone, lime",,Active,1991–open,
SK-MINCAN-0e7fd863,Shand,Estevan ,Saskatchewan,49.100149,-102.879739682922,Coal,,Active,1992–open,
NS-MINCAN-487f832a,Sullivan Creek or Florence,Florence ,Nova Scotia,46.2706638449,-60.2822605823,Coal,"Rio Algom constructing plant for tin mine, near Yarmouth, Nova Scotia",Inactive,1997–2010,
NL-MINCAN-01316355,Nugget Pond,Baie Verte ,Newfoundland-and-Labrador,49.8450213403332,-55.7753590557103,"Gold, Copper",,Inactive,1997–2010,NL-MAIN-842ba1b4
BC-MINCAN-2afc910c,,,British Columbia,49.631388,-125.03805,"Coal, Fireclay",,Inactive,1888–1967,
QC-MINCAN-494c7715,Kiena,Val d’Or ,Quebec,48.120858,-77.917978,Gold,"Contradictory information: ""1981
• Production begins, Kiena gold mine, Val-d’Or, Quebec"" from https://publications.gc.ca/collections/Collection/M39-78-2001E.pdf",Active,1936–1996; 2005–2013; 2021–open,QC-MAIN-9de9bb0d
QC-MINCAN-83950e58,Peel-Elder,Beauchastel,Quebec,48.286378,-79.130486,"Gold, Silver, Copper, Lead, Silica",,Active,1944–1966; 2016–open,
AB-MINCAN-27124b78,,Grande Cache ,Alberta,53.938609067,-119.178388597999,Coal,,Inactive,1967–1972; 2004–2015; 2018–2020,
BC-MINCAN-92291585,"Table Mountain, Cassiar Gold Property, Erikson, Jennie,(…) McDame Lake",Cassiar,British Columbia,59.195555,-129.68499,"Gold, Silver, Zinc, Lead, Copper, Antimony, Bismuth, Cadmium",Lots of prospection and sampling since then,Inactive,1978–1988; 1994–2007,
QC-MINCAN-c972fc39,Vezza,,Quebec,49.5329,-77.76671,"Gold, Silver",Also other periods with significan exploration at the mine.,Inactive,1986–1988; 1993–1997; 2016–2019,
BC-MINCAN-b7c27ef4,Wolverine or Perry Creek,,British Columbia,55.0861,-121.2453,Coal,https://www.gem.wiki/Wolverine_mine,Active,2006–2014; 2017–open,BC-MAIN-afd7eec5
AB-MINCAN-fb104999,Vista,,Alberta,53.403506,-117.36642,Coal,Possibly producing for a period before,Active,2019–open,AB-MAIN-a67a8e37
QC-MINCAN-c4a792be,Domlin,Marbleton,Quebec,45.617966,-71.604558,Lime,,Active,1824–open,
QC-MINCAN-a98e595a,,Thetford Mines ,Quebec,46.07861,-71.30056,Asbestos,,Inactive,1878–1964,
BC-MINCAN-0dc69334,Cariboo-Amelia or Camps McKinney Gold,,British Columbia,49.0625,-119.13861,"Gold, Silver, Lead, Zinc, Copper, Pyrophyllite, Silica",many more producers listed here https://minfile.gov.bc.ca/summary.aspx?minfilno=082ESW020,Inactive,1887–1962,
NS-MINCAN-0403a4c4,No. 26 Colliery,Glace Bay ,Nova Scotia,46.1745138817,-59.948724419,Coal,"Closing of Number 26 Colliery, Glace Bay, Nova Scotia.",Inactive,1900–1984,
ON-MINCAN-95ee2b9c,,Virginiatown ,Ontario,48.13708,-79.58034,Gold,,Inactive,1900–1963; 1990–1996,
BC-MINCAN-ba3df19a,Sheep Creek (Queen or Yellowstone),,British Columbia,49.143055,-117.13444,"Gold, Silver, Lead, Zinc, Silica",,Inactive,1900–1989,
BC-MINCAN-3b8a165b,Cork-Province,slocan,British Columbia,49.907222,-117.07527,"Silver, Zinc, Lead, Cadmium, Gold, Copper",,Inactive,1900–1966,
NS-MINCAN-17fc919f,,Broughton ,Nova Scotia,46.0832401664,-59.9758571735,Coal,many mines operated between 1901 and 1969 and it then became a ghost town (source3),Inactive,1901–1969,
BC-MINCAN-d6706625,,Beaverdell ,British Columbia,49.429166,-119.06222,"Silver, Lead, Zinc, Gold",,Inactive,1901–1978,
ON-MINCAN-dcad146e,,Hagersville ,Ontario,43.01223,-80.01629,Gypsum,,Active,1902–open,
ON-MINCAN-2e153266,Savage (Silver Summit),,Ontario,47.37574,-79.68324,Silver,,Inactive,1903–1964,
QC-MINCAN-50314896,Kilmar or Dobbie?,Kilmar ,Quebec,45.75139,-74.61833,Magnesitic Dolomite,"Formerly: Kilmar Mine, Kilmar, Grenville township, Argenteuil Co., Québec, Canada

Mining started during World War I.The deposit was originally mined as an open pit. Underground mining began by means of adits from the open pit and then continued via a shaft sunk in 1937, reaching a depth of 700 feet in 1942.",Inactive,1907–1993,
ON-MINCAN-d4a1a2d9,Mud,,Ontario,47.41481,-79.62552,Silver,,Inactive,1907–1965,
BC-MINCAN-ea2ae2b5,Giant Mascot,Hope,British Columbia,49.46444,-121.51361,"Lead, Zinc, Silver, Copper, Barite, Antimony, Cadmium",,Inactive,1908–1983,
ON-MINCAN-17e66074,,Cobalt ,Ontario,47.37083,-79.66541,Silver,"Glen Lake Silver Mines Ltd. Was another entry with overlap, but classified as the same and same location on the map. ",Inactive,1909–1970,
ON-MINCAN-55100de8,McIntyre,,Ontario,47.69009,-80.67301,"Silver, Cobalt",,Inactive,1911–1984,
NS-MINCAN-de5d8c51,Malagash salt,Malagash,Nova Scotia,45.79235,-63.32344,Salt,The currently entered coordinates are for the museum (see link attached),Inactive,1918–1961,
AB-MINCAN-8e3e89bc,Foothills,,Alberta,53.0687800438999,-116.795689302,Coal,,Inactive,1918–1961,
ON-MINCAN-44c103e1,Howard,Huntingdon Township,Ontario,44.48671,-77.48011,Fluorspar,,Inactive,1920–1951,
BC-MINCAN-1af9c930,Premier,Silbak Premier Mine,British Columbia,56.054722,-130.0075,"Gold, Silver, Lead, Zinc, Copper",many more owners,Active,1921–1967; 1989–1996; 2009–open,
ON-MINCAN-56baaa6b,Holloway,Matheson,Ontario,48.523515,-79.74788,Gold,,Inactive,1922–1950; 1996–2016,
BC-MINCAN-b1f8d21f,Dome Mountain,Smithers,British Columbia,54.740333,-126.620667,"Gold, Silver, Zinc, Lead",,Active,1923–open,
YT-MINCAN-5ac6985a,,Dawson,Yukon,64.0643569720063,-139.432689891916,Gold,,Inactive,1926–1966,
ON-MINCAN-f326bc19,,,Ontario,48.15626,-80.02613,Gold,,Inactive,1927–1961,
SK-MINCAN-f829adb1,,Dunkirk,Saskatchewan,50.034899060058,-105.714431,Sodium Sulphate,,Inactive,1930–1950,
NB-MINCAN-64cab7f7,,Minto ,New Brunswick,46.08333333,-66.0166666666667,Coal,labour // Miramichi lumber strike and the strike in the MINTO coalfields in October 1937 forced the province to re-evaluate its labour relations policy and consequently to introduce new labour legislation in 1938. (link1) //// https://archives.gnb.ca/LHTNB/Categories/Labour_Landmarks/Minto_1932/Story_en-CA.aspx,Inactive,1932–2009,
MB-MINCAN-a9292578,,Neepawa ,Manitoba,50.23611111111112,-99.46388888888887,Salt,,Inactive,1932–1970,
NS-MINCAN-f8793ddf,,,Nova Scotia,46.89361,-60.48389,Gypsum, gypsum mine called National Gypsum Company quarries operated between 1933 and 1955. The closure match the info of the Index of Producing Mines (source3),Inactive,1933–1955,
NT-MINCAN-7fc88611,Eldorado,,Northwest Territories,66.08384,-118.03657,"Uranium, Radium, Silver, Copper","(see source3, p.223)",Inactive,1933–1960; 1975–1982,
ON-MINCAN-910ae5fa,,Pickle Lake,Ontario,51.4637845328404,-90.185290267705,"Copper, Nickel",might reopen with indigenous participation,Inactive,1935–1960,
NT-MINCAN-eae97f9d,,,Yukon,62.462500000000006,-114.31666666666666,Gold,gold rush,Inactive,1935–1952,
AB-MINCAN-9e539865,,,Alberta,49.5924539786563,-114.405280195553,Coal,,Inactive,1937–1961,
NS-MINCAN-4ed2d911,,Walton ,Nova Scotia,45.2305704711816,-64.0063315080475,"Barite, Silver, Lead, Zinc",,Inactive,1941–1979,
ON-MINCAN-2f8037b7,,,Ontario,48.51388,-81.21363,Gold,,Inactive,1944–1965,
YT-MINCAN-80f3537f,,close to forty mills,Yukon,64.2352952054867,-140.67175829808,Gold,about 30 workers in the first years,Inactive,1946–1954,
ON-MINCAN-966d4687,,,Ontario,48.51106,-81.17272,Gold,also more production pre-1950,Inactive,1948–1963,
NT-MINCAN-d2265a7f,La Forma ,,Yukon,63.1875,-113.89583333333334,Gold,It also produced in the late 1930s https://www.cambridge.org/core/journals/polar-record/article/abs/notes-on-mining-development-reindeer-husbandry-the-eiderdown-industry-in-the-canadian-arctic/FA995FBBD19E425E800252F382721327,Inactive,1950–1969,
ON-MINCAN-be2d685f,,Temagami,Ontario,46.96242,-80.03778,"Copper, Gold, Silver, Nickel, Cobalt, Platinum, Palladium",Alternative Name Temagami Mine  closed (abandoned),Inactive,1952–1977,
ON-MINCAN-75958a0a,Shebandowan ,Thunder Bay ,Ontario,48.596789,-90.247925,"Nickel, Copper",,Inactive,1952–1995,
QC-MINCAN-b8e1cb40,Carol Lake project or Knob Lake,Schefferville ,Newfoundland-and-Labrador,54.791688,-66.80881,Iron,very large working force - 2300 workers/ 650 workers,Inactive,1954–1983,
NB-MINCAN-e35a908b,Heath Steele,Restigouche,New Brunswick,47.29292,-66.06779,"Zinc, Lead, Copper, Silver",,Inactive,1955–1999; 2007–2008,
QC-MINCAN-1532a658,,,Quebec,48.572282,-78.959584,"Copper, Silver, Gold, Zinc, Lead",,Inactive,1955–1957,
QC-MINCAN-73792570,,Murdochville ,Quebec,48.97056,-65.52028,Copper,"city founded in 1951. There was a fire at the mine in 1987 and the production stopped until 1989. However, after 1987, the mine exited the list of principal mines (see wikipedia of Murdochville). Trade unions very imporant. March: Miners’ strike lasts seven and a half months making it the longest conflict in the unionization period in Quebec.
closure voted by referendum",Inactive,1955–1999; 1984–2002,
ON-MINCAN-2d253aae,Denison,Elliot Lake ,Ontario,46.495597,-82.600236,Uranium,,Inactive,1957–1992,
QC-MINCAN-c61b7e60,,,Quebec,46.21785,-70.77873,Gold,"(see source3, p.15)",Inactive,1958–1963,
ZZ-MINCAN-93489a7a,Pugwash,Cumberland County (Pugwash),Nova Scotia,45.84167,-63.65389,Salt,,Active,1959–open,
QC-MINCAN-fec0089b,Copper Rand,Chibougamau ,Quebec,49.889332,-74.275314,"Copper, Gold, Silver",https://collections.banq.qc.ca/ark:/52327/bs20585,Inactive,1959–1997; 2004–2008,
QC-MINCAN-1303d687,,,Quebec,48.042094,-77.581074,Gold,,Inactive,1960–1963,
ON-MINCAN-bc7c770c,Edwards,Wawa ,Ontario,48.31628,-84.3574,Gold,The mine was also in operation from 1933 to 1939,Inactive,1960–2001,
AB-MINCAN-36550536,,Onoway ,Alberta,53.7035660221994,-114.193072868292,Bentonite,"In recent years there have been three sodium bentonite producers in Canada, one in Saskatchewan and two in Alberta. The Alberta operations (located in Rosalind and Onoway) traditionally produced very small quantities of bentonite for local oil-industry use. As of 1989 neither of these operations was in production, although the Rosalind operation resumed limited production in 1990. The Saskatchewan bentonite mining and processing plant, located near Avonlea, is smaller than the American operations. It has undergone a number of changes in ownership in the past twenty years, some of which, including the most recent one (1989-1991), have resulted in the complete shutdown of the operation for extended periods. Customers requiring the product have had to go to the somewhat more stable U.S.
suppliers. The Canadian bentonite also has some limitations in its use and availability, as discussed in later sections of this report",Inactive,1960–1989,
BC-MINCAN-4f76c5f0,,Benson Lake ,British Columbia,59.58272,-133.65358,"Copper, Magnetite, Iron, Gold, Silver, Limestone",The mine at its second opening produced limestone,Inactive,1960–1973; 1985–2016,
NS-MINCAN-c76b7edc,River Denys,River Denys ,Nova Scotia,45.83693,-61.17805,Gypsum,Info on working years here http://nsminerals.atspace.com/LakeEnon.html,Inactive,1964–2012,
NL-MINCAN-75ac8660,Rambler Tailings,Baie Verte ,Newfoundland-and-Labrador,49.88333,-56.08333,"Copper, Gold, Silver, Zinc, Cadmium",It employed approximately 200 men. ,Inactive,1964–1982; 1996–1997,
QC-MINCAN-d737bc31,Norbeau,Chibougamau ,Quebec,49.959221,-74.305286,"Gold, Silver, Copper, Arsenic",,Inactive,1965–1969,
BC-MINCAN-c4bfc9ab,,Fort Langley,British Columbia,49.1895218775501,-122.660631430691,Lime,"Chemical Lime Company Of Canada Formerly Known As Texada Lime Was Established In 1970. The Company Was Purchased In 1992 By The Chemical Lime Company (Lhoist North America) With Corporate Offices In Fort Worth Texas. Chemical Lime Company Is The Leading Manufacturer Of Lime Based Products In North America. The Manufacturing Plant Is Located In Langley BC. Products Produced At This Location Include Quicklime (Calcium Oxide), Hydrated Lime (Calcium Hydroxide And Limestone (Calcium Carbonate). These Products Are Used In The Mining, Pulp & Paper Industries, Agricultural, Construction And Environmental Applications.",Active,1970–open,
BC-MINCAN-8cc41b53,Gibraltar,McLeese Lake,British Columbia,52.529808,-122.286536,"Copper, Molybdenum",,Active,1972–1998; 2004–open,BC-MAIN-6b4800fe
BC-MINCAN-be8c27ca,Silver Queen,Owen Lake,British Columbia,54.083333,-126.716111,"Silver, Lead, Zinc, Gold, Copper",,Active,1972–open,
ON-MINCAN-78fee3c0,Plant,Ingersoll,Ontario,43.0916644714438,-80.8404767639639,Lime,,Active,1973–open,
ON-MINCAN-1b9e07e6,Penhorwood,Penhorwood Township,Ontario,48.19416,-82.09663,Talc,,Inactive,1973–1994,
ON-MINCAN-109b2f38,Drumbo,Clarkson ,Ontario,43.22479,-80.61253,Gypsum,unclear ownership sequence (and dates) as for other Ingersoll entry,Inactive,1978–1994,
NS-MINCAN-5ef9bc93,Silvermines ,"Salmon River area, Cape Breton",Nova Scotia,45.8665,-60.4023,Lead,"Discovered in 1962: Production begins, Yava mine, Salmon River area, Cape Breton, Nova Scotia.",Inactive,1979–1981,
QC-MINCAN-44e0bdee,Sainte-Clotilde (Armand Sicotte) or Marcil Quarry,Howick/Saint-Clothilde,Quebec,45.138417,-73.644215,Silica,,Active,1980–open,
BC-MINCAN-9046c95e,"Elkview, formely Balmer",Sparwood,British Columbia,49.78611,-114.82749,Coal,strike in 1980-1 (link1),Inactive,1980–2015,
AB-MINCAN-9faa9df0,Gregg River,Hinton,Alberta,53.0930820390999,-117.508709734,Coal,,Inactive,1980–2000,
AB-MINCAN-94ccee48,Obed-Marsh,Hinton,Alberta,53.6071952531999,-117.460447091999,Coal,,Inactive,1980–2003,
ON-MINCAN-37c8fe8f,Grandoro,Davis Twp. ,Ontario,46.65107,-80.61542,"Gold, Copper",The mine was also in production from 1899 to 1941. //// It is one of three main occurrences forming the historic Orofino Mountain gold camp.,Inactive,1981–1988,
ON-MINCAN-adda411d,Owl Creek,Timmins ,Ontario,48.55056,-81.13944,Gold,,Inactive,1981–1990,
ON-MINCAN-a9fc3088,,Schreiber ,Ontario,48.97755,-87.36555,Zinc,,Inactive,1981–1998,
