main_id,facility_name,facility_group_name,facility_group_id,reported_company,company_name_folder,company_id,longitude,latitude,city,province,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,primary_commodity,commodities,source_id,geometry
NU-MAIN-8b0264c9,Meliadine,,,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,CMP-6265c407,-92.220206,63.031529,Rankin Inlet,Nunavut,active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Gold,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-92.220206 63.031529)
MB-MAIN-5d21dbd5,Monument Bay,,,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,CMP-6265c407,-92.914016,54.446415,,Manitoba,project_facility,Active,Advanced project,project,,,Gold,"Gold, tungsten",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-92.914016 54.446415)
ON-MAIN-74997012,Upper Beaver,,,Agnico Eagle Mines Limited,Agnico Eagle Mines Limited,CMP-6265c407,-79.76,48.16,,Ontario,project_facility,Active,Advanced project,project,,,Gold,"Gold, copper",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-79.76 48.16)
ON-MAIN-687b8c8d,Island,,,Alamos Gold Inc.,Alamos Gold Inc,CMP-3a4ccc7f,-84.449604,48.285667,Dubreuilville,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Gold,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-84.449604 48.285667)
ON-MAIN-7607a50e,Young-Davidson,,,Alamos Gold Inc.,Alamos Gold Inc,CMP-3a4ccc7f,-80.67444,47.94667,Matachewan,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Gold,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-80.67444 47.94667)
QC-MAIN-52c01ae4,Baie-Comeau,,,Alcoa Corporation,Alcoa Corporation,CMP-140e111b,-68.1491,49.2562,,Quebec,active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure or alloyed),Aluminum (pure or alloyed),https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-68.1491 49.2562)
QC-MAIN-eac5a52b,Deschambault,,,Alcoa Corporation,Alcoa Corporation,CMP-140e111b,-71.9467,46.6939,,Quebec,active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure),Aluminum (pure),https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-71.9467 46.6939)
QC-MAIN-81a288d0,Elysis,,,Alcoa Corporation / Rio Tinto Aluminum Inc.,Alcoa Corporation / Rio Tinto,CMP-dc21de8a,-71.17565,48.43214,,Quebec,project_facility,Active,Advanced processing project,project,,,Aluminum,Aluminum,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-71.17565 48.43214)
QC-MAIN-c8966bdc,Bécancour,,,Alcoa Corporation and Rio Tinto Aluminum Inc.,Alcoa Corporation / Rio Tinto,CMP-dc21de8a,-72.3852,46.381,,Quebec,active_facility,,,manufacturing,Smelter,Aluminum,Aluminum (pure or alloyed),Aluminum (pure or alloyed),https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-72.3852 46.381)
ON-MAIN-eab8c362,Algoma Steel,,,Algoma Steel Inc.,Algoma Steel Inc,CMP-0f9c0b53,-84.36664,46.52055,,Ontario,active_facility,,,manufacturing,Basic oxygen furnace,Iron ore,Steel,Steel,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-84.36664 46.52055)
QC-MAIN-8c7063b2,James Bay Lithium,,,Allkem Limited,-,CMP-336d5ebc,-77.06667,52.23333,,Quebec,project_facility,Active,Advanced project,project,,,Lithium (spodumene),Lithium (spodumene),https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-77.06667 52.23333)
BC-MAIN-3ef4f421,Avanti Kitsault,,,Alloycorp Mining Inc.,-,CMP-336d5ebc,-129.419,55.422,,British Columbia,project_facility,Active,Advanced project,project,,,Molybdenum,"Molybdenum, silver, lead",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-129.419 55.422)
AB-MAIN-9fed34a8,AltaSteel,,,AltaSteel Inc.,AltaSteel Inc,CMP-c6e8351c,-113.387962,53.492783,,Alberta,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-113.387962 53.492783)
QC-MAIN-33c09b8b,Fire Lake,AMMC,GRP-1402249f,ArcelorMittal,ArcelorMittal,CMP-3775c12e,-67.363935,52.352998,Fermont,Quebec,active_facility,,,mining,Open-pit,Iron ore,Iron,Iron,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-67.363935 52.352998)
QC-MAIN-084bd95c,Mont-Wright,AMMC,GRP-1402249f,ArcelorMittal,ArcelorMittal,CMP-3775c12e,-67.330058,52.757053,Fermont,Quebec,active_facility,,,mining,"Open-pit, concentrator",Iron ore,Iron,Iron,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-67.330058 52.757053)
QC-MAIN-1eee4ace,Contrecœur East,Contrecoeur,GRP-7a9ba115,ArcelorMittal Long Products Canada,ArcelorMittal,CMP-3775c12e,-73.249081,45.837723,,Quebec,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-73.249081 45.837723)
QC-MAIN-844dcc47,Contrecœur West,Contrecoeur,GRP-7a9ba115,ArcelorMittal Long Products Canada,ArcelorMittal,CMP-3775c12e,-73.263268,45.819938,,Quebec,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-73.263268 45.819938)
QC-MAIN-e25eed27,Port-Cartier,AMMC,GRP-1402249f,ArcelorMittal Mining Canada,ArcelorMittal,CMP-3775c12e,-66.797531,50.03213,,Quebec,active_facility,,,manufacturing,Pelletizing plant,Iron ore,Iron ore,Iron ore,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-66.797531 50.03213)
ON-MAIN-4c35e094,ArcelorMittal Dofasco,,,ArcelorMittal S.A.,ArcelorMittal,CMP-3775c12e,-79.805204,43.269132,,Ontario,active_facility,,,manufacturing,"Basic oxygen furnace, electric arc furnace",Iron ore,Steel,Steel,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-79.805204 43.269132)
ON-MAIN-8825d90d,Magino,,,Argonaut Gold Inc.,Argonaut Gold Inc,CMP-a6812c47,-84.45744,48.28869,Timmins,Ontario,active_facility,,,mining,"Open-pit, concentrator",Precious metals,Gold,"Gold, silver",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-84.45744 48.28869)
SK-MAIN-de2e2f8e,Prairie Lithium,,,Arizona Lithium Ltd,-,CMP-336d5ebc,-103.63518,49.21363,,Saskatchewan,project_facility,Active,Advanced unconventional project,project,,,Lithium (brine),Lithium (brine),https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-103.63518 49.21363)
ON-MAIN-e928d96a,Brampton,,,Asahi Refining Canada Ltd.,Asahi Refining Canada Ltd,CMP-c48042ef,-79.722125,43.691066,,Ontario,active_facility,,,manufacturing,Refinery,Precious metals,Gold,"Gold, silver",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-79.722125 43.691066)
NT-MAIN-4f11f183,Nechalacho - Basal Zone,,,Avalon Advanced Materials Inc.,Avalon Advanced Materials Inc,CMP-9d03c9d4,-112.59972,62.11806,,Northwest Territories,project_facility,Active,Advanced project,project,,,Rare earth elements,"Rare earth elements, niobium, tantalum, zirconium",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-112.59972 62.11806)
ON-MAIN-46f71d5b,Separation Rapids,,,Avalon Advanced Materials Inc.,Avalon Advanced Materials Inc,CMP-9d03c9d4,-94.58258,50.266,,Ontario,project_facility,Active,Advanced project,project,,,Lithium (spodumene),Lithium (spodumene),https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-94.58258 50.266)
NU-MAIN-5154702a,Mary River,,,Baffinland Iron Mines Corporation,-,CMP-336d5ebc,-78.556869,71.340446,Pond Inlet,Nunavut,active_facility,,,mining,Open-pit,Iron ore,Iron,Iron,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-78.556869 71.340446)
ON-MAIN-6e9be24e,Hemlo (Williams),,,Barrick Gold Corporation,Baffinland Iron Mines Corporation,CMP-84fc7d46,-85.91598,48.695726,Marathon,Ontario,active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Gold,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-85.91598 48.695726)
AB-MAIN-8434dce0,Baymag,,,Baymag Inc.,Barrick Gold Corporation,CMP-79bcdb91,-115.210061,51.060022,,Alberta,active_facility,,,manufacturing,Plant,Base metals,Magnesium oxide,Magnesium oxide,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-115.210061 51.060022)
YT-MAIN-2cc9bb06,Kudz Ze Kayah,,,BMC (UK) Limited,-,CMP-336d5ebc,-130.59894,61.47108,,Yukon,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, copper, silver, gold",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-130.59894 61.47108)
NL-MAIN-895cb178,Buchans River,,,Buchans Resources Limited,-,CMP-336d5ebc,-56.855965,48.829018,,Newfoundland and Labrador,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, copper, silver, gold",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-56.855965 48.829018)
NT-MAIN-6c1d6ee6,Ekati,,,Burgundy Diamond Mines,Burgundy Diamond Mines,CMP-caa580a0,-110.618,64.715,Lac de Gras,Northwest Territories,active_facility,,,mining,"Underground, plant",Diamonds,Diamonds,Diamonds,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-110.618 64.715)
NB-MAIN-0c5b40d8,Nash Creek,,,Callinex Mines Inc.,-,CMP-336d5ebc,-66.09771,47.88939,,New Brunswick,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, silver",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-66.09771 47.88939)
ON-MAIN-484e4fa3,Blind River,,,Cameco Corporation,Cameco Corporation,CMP-cadb529a,-83.017246,46.180896,,Ontario,active_facility,,,manufacturing,Refinery,Uranium,Uranium (trioxide),Uranium (trioxide),https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-83.017246 46.180896)
SK-MAIN-91cf5448,Cigar Lake,,,Cameco Corporation,Cameco Corporation,CMP-cadb529a,-104.54123,58.06819,Waterbury Lake,Saskatchewan,active_facility,,,mining,Underground,Uranium,Uranium,Uranium,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-104.54123 58.06819)
SK-MAIN-bb89158f,Key Lake,Key Lake + McArthur River,GRP-21eee27d,Cameco Corporation,Cameco Corporation,CMP-cadb529a,-105.647,57.207,north of Highrock Lake,Saskatchewan,active_facility,,,mining,Concentrator,Uranium,Uranium,Uranium,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-105.647 57.207)
SK-MAIN-d3c471e8,McArthur River,Key Lake + McArthur River,GRP-21eee27d,Cameco Corporation,Cameco Corporation,CMP-cadb529a,-105.053,57.7637,north of Key Lake,Saskatchewan,active_facility,,,mining,Underground,Uranium,Uranium,Uranium,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-105.053 57.7637)
ON-MAIN-237587f6,Port Hope,,,Cameco Corporation,Cameco Corporation,CMP-cadb529a,-78.2943,43.9429,,Ontario,active_facility,,,manufacturing,Conversion facility,Uranium,Uranium (hexafluoride,"Uranium (hexafluoride, dioxide, metals, alloys)",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-78.2943 43.9429)
ON-MAIN-4c5c1179,Crawford,,,Canada Nickel Company Inc.,-,CMP-336d5ebc,-81.37309,48.83972,,Ontario,project_facility,Active,Advanced project,project,,,Nickel,"Nickel, iron ore, cobalt, palladium, platinum, chromite",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-81.37309 48.83972)
NB-MAIN-8e04eb21,Murray Brook,,,Canadian Copper,-,CMP-336d5ebc,-66.43167,47.52528,,New Brunswick,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, silver, copper, gold",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-66.43167 47.52528)
ON-MAIN-37e9571e,Thierry,,,Canadian Critical Minerals Inc,-,CMP-336d5ebc,-90.34694,51.49667,,Ontario,project_facility,Active,Advanced project,project,,,Copper,"Copper, nickel, silver, gold, platinum, palladium",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-90.34694 51.49667)
NB-MAIN-3e7d42ac,Woodstock,,,Canadian Manganese Company Inc.,-,CMP-336d5ebc,-67.64,46.18,,New Brunswick,project_facility,Active,Advanced project,project,,,Manganese,"Manganese, iron ore",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-67.64 46.18)
NU-MAIN-eae1621e,Ferguson Lake,,,Canadian North Resources Inc.,-,CMP-336d5ebc,-96.83306,62.87306,,Nunavut,project_facility,Active,Advanced project,project,,,Nickel,"Nickel, copper, palladium, platinum, cobalt",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-96.83306 62.87306)
QC-MAIN-5ce331b8,Nunavik Nickel,,,Canadian Royalties Inc.,Canadian Royalties Inc,CMP-d87d1101,-74.1375,61.420856,Kangiqsujuaq,Quebec,active_facility,,,mining,"Open-pit, underground, concentrator",Base metals,Nickel,"Nickel, copper, platinum group metals, cobalt",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-74.1375 61.420856)
BC-MAIN-eba3e309,Golden Crown,,,Canxgold Mining Corp.,-,CMP-336d5ebc,-118.59,49.09,,British Columbia,project_facility,Active,Advanced project,project,,,Gold,"Gold, copper",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-118.59 49.09)
BC-MAIN-e34feb4d,Kemess,,,Centerra Gold Inc.,Centerra Gold Inc,CMP-fa032e20,-126.77117,57.05037,,British Columbia,project_facility,Active,Advanced project,project,,,Copper,"Copper, gold, silver",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-126.77117 57.05037)
BC-MAIN-ed23117f,Mount Milligan,,,Centerra Gold Inc.,Centerra Gold Inc,CMP-fa032e20,-124.031,55.118,Fort St. James,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals and precious metals,Copper,"Copper, gold, silver",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-124.031 55.118)
QC-MAIN-089f3c60,Bloom Lake,,,Champion Iron Ltd.,Champion Iron Ltd,CMP-c08ac7d7,-67.28,52.84,Fermont,Quebec,active_facility,,,mining,Open-pit,Iron ore,Iron,Iron,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-67.28 52.84)
NL-MAIN-251d6364,Beaver Brook,,,China Minmetals Rare Earth Group Co. Ltd.,-,CMP-336d5ebc,-55.196,48.715909,Glenwood,Newfoundland and Labrador,active_facility,,,mining,"Underground, concentrator",Other metals,Antimony,Antimony,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-55.196 48.715909)
ON-MAIN-be399420,Thunder Bay North,,,Clean Air Metals Inc.,Clean Air Metals Inc,CMP-4b2ebf8a,-88.931,48.79,,Ontario,project_facility,Active,Advanced project,project,,,Platinum,"Platinum, palladium, gold, nickel, copper, silver, rhodium, cobalt",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-88.931 48.79)
QC-MAIN-3330383b,Eldor (Ashram),,,Commerce Resources Corp.,Commerce Resources Corp,CMP-b57b14b5,-68.40417,56.94583,,Quebec,project_facility,Active,Advanced project,project,,,Rare earth elements,Rare earth elements,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-68.40417 56.94583)
MB-MAIN-6fca9d6d,Lynn Lake,,,Corazon Mining Limited,Alamos Gold Inc,CMP-3a4ccc7f,-101.03486,56.85217,,Manitoba,project_facility,Active,Advanced project,project,,,Nickel,"Nickel, copper, cobalt",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-101.03486 56.85217)
QC-MAIN-d4e2812a,Rose,,,Critical Elements Lithium Corporation,Critical Elements Lithium Corporation,CMP-3a004643,-76.172,52.022485,,Quebec,project_facility,Active,Advanced project,project,,,Lithium (spodumene),"Lithium (spodumene), tantalum",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-76.172 52.022485)
AB-MAIN-9a0307f6,SBH Black Shale,,,Critical Minerals Americas Inc,Critical Minerals Americas Inc,CMP-ad57c7dd,-111.90375,57.68711,,Alberta,project_facility,Active,Advanced unconventional project,project,,,Vanadium,"Vanadium, zinc, nickel, uranium, copper, cobalt, rare earth elements, scandium, lithium, molybdenum",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-111.90375 57.68711)
QC-MAIN-715d4318,Horizon,,,CVW CleanTech Inc.,CVW CleanTech Inc,CMP-94ee10f6,-73.450825,45.57462,,Alberta,project_facility,Active,Advanced unconventional project,project,,,Zircon,"Zircon, titanium, rare earth elements",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-73.450825 45.57462)
NT-MAIN-94e652a5,Gahcho Kué,,,De Beers Canada Inc.,De Beers Canada Inc,CMP-d899f7d7,-109.21194,63.44528,Lac de Gras,Northwest Territories,active_facility,,,mining,"Open-pit, plant",Diamonds,Diamonds,Diamonds,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-109.21194 63.44528)
BC-MAIN-382acb18,Wicheeda,,,Defense Metals Corp.,Defense Metals Corp,CMP-0c229302,-122.09912,54.53141,,British Columbia,project_facility,Active,Advanced project,project,,,Rare earth elements,Rare earth elements,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-122.09912 54.53141)
SK-MAIN-4aef3cb2,Waterbury,,,Denison Mines Corp.,Denison Mines Corp,CMP-a5ce7f9f,-104.03032,58.3478,,Saskatchewan,project_facility,Active,Advanced project,project,,,Uranium,Uranium,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-104.03032 58.3478)
SK-MAIN-95ec2625,Wheeler River,,,Denison Mines Corp.,Denison Mines Corp,CMP-a5ce7f9f,-105.38137,57.50888,,Saskatchewan,project_facility,Active,Advanced project,project,,,Uranium,Uranium,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-105.38137 57.50888)
BC-MAIN-51068f3b,Kitsault Valley,,,Dolly Varden Silver Corporation,Dolly Varden Silver Corporation,CMP-fe387d85,-129.57778,55.75361,,British Columbia,project_facility,Active,Advanced project,project,,,Gold,"Gold, silver, copper, lead",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-129.57778 55.75361)
AB-MAIN-7d4a0421,Bashaw District,,,E3 Lithium Ltd,E3 Lithium Ltd,CMP-0f2021e7,-113.93655,51.77696,,Alberta,project_facility,Active,Advanced unconventional project,project,,,Lithium (brine),Lithium (brine),https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-113.93655 51.77696)
QC-MAIN-f9e41c2a,Lamaque,,,Eldorado Gold,Eldorado Gold,CMP-64d60fd7,-77.739624,48.079221,Val-d’Or,Quebec,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Gold,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-77.739624 48.079221)
ON-MAIN-6664e89b,Battery Materials Park,,,Electra Battery Materials Corporation,Electra Battery Materials Corporation,CMP-4eadf926,-79.62229,47.40635,,Ontario,project_facility,Active,Advanced processing project,project,,,Cobalt,"Cobalt, nickel, lithium",https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-79.62229 47.40635)
QC-MAIN-5398dfac,Elkem Chicoutimi,,,Elkem Metal Canada Inc.,Elkem Metal Canada Inc,CMP-89ae3b2b,-71.131239,48.412769,,Quebec,active_facility,,,manufacturing,,Ferroalloys,Ferrosilicon,Ferrosilicon,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-71.131239 48.412769)
QC-MAIN-2cf66e65,Becancour Plant,,,Euro Manganese Inc,Euro Manganese Inc,CMP-6f1454e8,-72.433334,46.333332,,Quebec,project_facility,Active,Advanced processing project,project,,,Manganese sulphate,Manganese sulphate,https://open.canada.ca/data/en/dataset/22b2db8a-dc12-47f2-9737-99d3da921751,POINT (-72.433334 46.333332)
ON-MAIN-7f050560,Red Lake,,,Evolution Mining Ltd.,Evolution Mining Ltd,CMP-ca642bce,-93.732922,51.050557,Balmertown,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, silver",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-93.732922 51.050557)
SK-MAIN-26b9aaf3,EVRAZ Regina,,,EVRAZ North America Inc.,EVRAZ North America Inc,CMP-28720916,-104.623843,50.515263,,Saskatchewan,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-104.623843 50.515263)
QC-MAIN-c1cc9f7c,Becancour Silicon,,,Ferroglobe PLC,Ferroglobe PLC,CMP-ef8ffade,-72.39,46.37,,Quebec,active_facility,,,manufacturing,,Ferroalloys,Silicon metal,"Silicon metal, ferrosilicon",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-72.39 46.37)
NL-MAIN-c139de6d,Ming,,,FireFly Metals Ltd.,FireFly Metals Ltd,CMP-24a4f1d5,-56.087,49.915,Baie Verte,Newfoundland and Labrador,active_facility,,,mining,Underground,Base metals,Copper,"Copper, gold, silver",https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-56.087 49.915)
NL-MAIN-842ba1b4,Nugget Pond,,,FireFly Metals Ltd.,FireFly Metals Ltd,CMP-24a4f1d5,-55.7753,49.845,Snook’s Arm,Newfoundland and Labrador,active_facility,,,mining,Concentrator,Base metals,Copper,Copper,https://open.canada.ca/data/en/dataset/000183ed-8864-42f0-ae43-c4313a860720,POINT (-55.7753 49.845)
