row_id,main_id,name,indicator,value,year,scenario,source_id,geometry
water_risk-d29e0839-2020-baseline-5,QC-MAIN-d29e0839,Sleeping Giant,Coastal Eutrophication Potential Label,Low (<-5),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2030-bau-1,QC-MAIN-d29e0839,Sleeping Giant,Water Stress Label,Low (<10%),2030,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2030-bau-2,QC-MAIN-d29e0839,Sleeping Giant,Water Depletion Label,Low (<5%),2030,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2030-bau-3,QC-MAIN-d29e0839,Sleeping Giant,Interannual Variability Label,Low - Medium (0.25-0.50),2030,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2030-pes-1,QC-MAIN-d29e0839,Sleeping Giant,Water Stress Label,Low (<10%),2030,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2030-pes-2,QC-MAIN-d29e0839,Sleeping Giant,Water Depletion Label,Low (<5%),2030,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2030-pes-3,QC-MAIN-d29e0839,Sleeping Giant,Interannual Variability Label,Low - Medium (0.25-0.50),2030,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2030-opt-1,QC-MAIN-d29e0839,Sleeping Giant,Water Stress Label,Low (<10%),2030,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2030-opt-2,QC-MAIN-d29e0839,Sleeping Giant,Water Depletion Label,Low (<5%),2030,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2030-opt-3,QC-MAIN-d29e0839,Sleeping Giant,Interannual Variability Label,Low - Medium (0.25-0.50),2030,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2050-bau-1,QC-MAIN-d29e0839,Sleeping Giant,Water Stress Label,Low (<10%),2050,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2050-bau-2,QC-MAIN-d29e0839,Sleeping Giant,Water Depletion Label,Low (<5%),2050,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2050-bau-3,QC-MAIN-d29e0839,Sleeping Giant,Interannual Variability Label,Low - Medium (0.25-0.50),2050,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2050-pes-1,QC-MAIN-d29e0839,Sleeping Giant,Water Stress Label,Low (<10%),2050,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2050-pes-2,QC-MAIN-d29e0839,Sleeping Giant,Water Depletion Label,Low (<5%),2050,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2050-pes-3,QC-MAIN-d29e0839,Sleeping Giant,Interannual Variability Label,Low - Medium (0.25-0.50),2050,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2050-opt-1,QC-MAIN-d29e0839,Sleeping Giant,Water Stress Label,Low (<10%),2050,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2050-opt-2,QC-MAIN-d29e0839,Sleeping Giant,Water Depletion Label,Low (<5%),2050,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2050-opt-3,QC-MAIN-d29e0839,Sleeping Giant,Interannual Variability Label,Low - Medium (0.25-0.50),2050,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2080-bau-1,QC-MAIN-d29e0839,Sleeping Giant,Water Stress Label,Low (<10%),2080,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2080-bau-2,QC-MAIN-d29e0839,Sleeping Giant,Water Depletion Label,Low (<5%),2080,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2080-bau-3,QC-MAIN-d29e0839,Sleeping Giant,Interannual Variability Label,Low - Medium (0.25-0.50),2080,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2080-pes-1,QC-MAIN-d29e0839,Sleeping Giant,Water Stress Label,Low (<10%),2080,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2080-pes-2,QC-MAIN-d29e0839,Sleeping Giant,Water Depletion Label,Low (<5%),2080,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2080-pes-3,QC-MAIN-d29e0839,Sleeping Giant,Interannual Variability Label,Low - Medium (0.25-0.50),2080,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2080-opt-1,QC-MAIN-d29e0839,Sleeping Giant,Water Stress Label,Low (<10%),2080,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2080-opt-2,QC-MAIN-d29e0839,Sleeping Giant,Water Depletion Label,Low (<5%),2080,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-d29e0839-2080-opt-3,QC-MAIN-d29e0839,Sleeping Giant,Interannual Variability Label,Low - Medium (0.25-0.50),2080,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.97434 49.13259)
water_risk-f1ff4920-2020-baseline-1,QC-MAIN-f1ff4920,Akasaba West,Water Stress Label,Low (<10%),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2020-baseline-2,QC-MAIN-f1ff4920,Akasaba West,Water Depletion Label,Low (<5%),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2020-baseline-3,QC-MAIN-f1ff4920,Akasaba West,Interannual Variability Label,Low - Medium (0.25-0.50),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2020-baseline-4,QC-MAIN-f1ff4920,Akasaba West,Groundwater Table Decline Label,Insignificant Trend,2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2020-baseline-5,QC-MAIN-f1ff4920,Akasaba West,Coastal Eutrophication Potential Label,Low (<-5),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2030-bau-1,QC-MAIN-f1ff4920,Akasaba West,Water Stress Label,Low (<10%),2030,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2030-bau-2,QC-MAIN-f1ff4920,Akasaba West,Water Depletion Label,Low (<5%),2030,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2030-bau-3,QC-MAIN-f1ff4920,Akasaba West,Interannual Variability Label,Low - Medium (0.25-0.50),2030,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2030-pes-1,QC-MAIN-f1ff4920,Akasaba West,Water Stress Label,Low (<10%),2030,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2030-pes-2,QC-MAIN-f1ff4920,Akasaba West,Water Depletion Label,Low (<5%),2030,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2030-pes-3,QC-MAIN-f1ff4920,Akasaba West,Interannual Variability Label,Low - Medium (0.25-0.50),2030,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2030-opt-1,QC-MAIN-f1ff4920,Akasaba West,Water Stress Label,Low (<10%),2030,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2030-opt-2,QC-MAIN-f1ff4920,Akasaba West,Water Depletion Label,Low (<5%),2030,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2030-opt-3,QC-MAIN-f1ff4920,Akasaba West,Interannual Variability Label,Low - Medium (0.25-0.50),2030,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2050-bau-1,QC-MAIN-f1ff4920,Akasaba West,Water Stress Label,Low (<10%),2050,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2050-bau-2,QC-MAIN-f1ff4920,Akasaba West,Water Depletion Label,Low (<5%),2050,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2050-bau-3,QC-MAIN-f1ff4920,Akasaba West,Interannual Variability Label,Low - Medium (0.25-0.50),2050,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2050-pes-1,QC-MAIN-f1ff4920,Akasaba West,Water Stress Label,Low (<10%),2050,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2050-pes-2,QC-MAIN-f1ff4920,Akasaba West,Water Depletion Label,Low (<5%),2050,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2050-pes-3,QC-MAIN-f1ff4920,Akasaba West,Interannual Variability Label,Low - Medium (0.25-0.50),2050,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2050-opt-1,QC-MAIN-f1ff4920,Akasaba West,Water Stress Label,Low (<10%),2050,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2050-opt-2,QC-MAIN-f1ff4920,Akasaba West,Water Depletion Label,Low (<5%),2050,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2050-opt-3,QC-MAIN-f1ff4920,Akasaba West,Interannual Variability Label,Low - Medium (0.25-0.50),2050,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2080-bau-1,QC-MAIN-f1ff4920,Akasaba West,Water Stress Label,Low (<10%),2080,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2080-bau-2,QC-MAIN-f1ff4920,Akasaba West,Water Depletion Label,Low (<5%),2080,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2080-bau-3,QC-MAIN-f1ff4920,Akasaba West,Interannual Variability Label,Low - Medium (0.25-0.50),2080,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2080-pes-1,QC-MAIN-f1ff4920,Akasaba West,Water Stress Label,Low (<10%),2080,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2080-pes-2,QC-MAIN-f1ff4920,Akasaba West,Water Depletion Label,Low (<5%),2080,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2080-pes-3,QC-MAIN-f1ff4920,Akasaba West,Interannual Variability Label,Low - Medium (0.25-0.50),2080,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2080-opt-1,QC-MAIN-f1ff4920,Akasaba West,Water Stress Label,Low (<10%),2080,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2080-opt-2,QC-MAIN-f1ff4920,Akasaba West,Water Depletion Label,Low (<5%),2080,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-f1ff4920-2080-opt-3,QC-MAIN-f1ff4920,Akasaba West,Interannual Variability Label,Low - Medium (0.25-0.50),2080,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-77.58 48.04)
water_risk-4ea8ac9d-2020-baseline-1,NU-MAIN-4ea8ac9d,Amaruq,Water Stress Label,Low (<10%),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2020-baseline-2,NU-MAIN-4ea8ac9d,Amaruq,Water Depletion Label,Low (<5%),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2020-baseline-3,NU-MAIN-4ea8ac9d,Amaruq,Interannual Variability Label,Low - Medium (0.25-0.50),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2020-baseline-4,NU-MAIN-4ea8ac9d,Amaruq,Groundwater Table Decline Label,Insignificant Trend,2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2020-baseline-5,NU-MAIN-4ea8ac9d,Amaruq,Coastal Eutrophication Potential Label,Medium - High (0 to 1),2020,baseline,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2030-bau-1,NU-MAIN-4ea8ac9d,Amaruq,Water Stress Label,Low (<10%),2030,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2030-bau-2,NU-MAIN-4ea8ac9d,Amaruq,Water Depletion Label,Low (<5%),2030,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2030-bau-3,NU-MAIN-4ea8ac9d,Amaruq,Interannual Variability Label,Low - Medium (0.25-0.50),2030,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2030-pes-1,NU-MAIN-4ea8ac9d,Amaruq,Water Stress Label,Low (<10%),2030,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2030-pes-2,NU-MAIN-4ea8ac9d,Amaruq,Water Depletion Label,Low (<5%),2030,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2030-pes-3,NU-MAIN-4ea8ac9d,Amaruq,Interannual Variability Label,Low - Medium (0.25-0.50),2030,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2030-opt-1,NU-MAIN-4ea8ac9d,Amaruq,Water Stress Label,Low (<10%),2030,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2030-opt-2,NU-MAIN-4ea8ac9d,Amaruq,Water Depletion Label,Low (<5%),2030,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2030-opt-3,NU-MAIN-4ea8ac9d,Amaruq,Interannual Variability Label,Low - Medium (0.25-0.50),2030,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2050-bau-1,NU-MAIN-4ea8ac9d,Amaruq,Water Stress Label,Low (<10%),2050,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2050-bau-2,NU-MAIN-4ea8ac9d,Amaruq,Water Depletion Label,Low (<5%),2050,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2050-bau-3,NU-MAIN-4ea8ac9d,Amaruq,Interannual Variability Label,Low - Medium (0.25-0.50),2050,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2050-pes-1,NU-MAIN-4ea8ac9d,Amaruq,Water Stress Label,Low (<10%),2050,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2050-pes-2,NU-MAIN-4ea8ac9d,Amaruq,Water Depletion Label,Low (<5%),2050,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2050-pes-3,NU-MAIN-4ea8ac9d,Amaruq,Interannual Variability Label,Low - Medium (0.25-0.50),2050,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2050-opt-1,NU-MAIN-4ea8ac9d,Amaruq,Water Stress Label,Low (<10%),2050,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2050-opt-2,NU-MAIN-4ea8ac9d,Amaruq,Water Depletion Label,Low (<5%),2050,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2050-opt-3,NU-MAIN-4ea8ac9d,Amaruq,Interannual Variability Label,Low - Medium (0.25-0.50),2050,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2080-bau-1,NU-MAIN-4ea8ac9d,Amaruq,Water Stress Label,Low (<10%),2080,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2080-bau-2,NU-MAIN-4ea8ac9d,Amaruq,Water Depletion Label,Low (<5%),2080,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2080-bau-3,NU-MAIN-4ea8ac9d,Amaruq,Interannual Variability Label,Low - Medium (0.25-0.50),2080,bau,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2080-pes-1,NU-MAIN-4ea8ac9d,Amaruq,Water Stress Label,Low (<10%),2080,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2080-pes-2,NU-MAIN-4ea8ac9d,Amaruq,Water Depletion Label,Low (<5%),2080,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2080-pes-3,NU-MAIN-4ea8ac9d,Amaruq,Interannual Variability Label,Low - Medium (0.25-0.50),2080,pes,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2080-opt-1,NU-MAIN-4ea8ac9d,Amaruq,Water Stress Label,Low (<10%),2080,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
water_risk-4ea8ac9d-2080-opt-2,NU-MAIN-4ea8ac9d,Amaruq,Water Depletion Label,Low (<5%),2080,opt,https://www.wri.org/data/aqueduct-global-maps-40-data,POINT (-96.697 65.415)
