main_id,facility_name,reported_company,longitude,latitude,city,province,status,activity_status,development_stage,facility_type,mining_processing_type,commodity_group,primary_commodity,commodities,source,source_df,geometry
ON-MAIN-46f71d5b,Separation Rapids,Avalon Advanced Materials Inc.,-94.58258,50.266,,Ontario,project_facility,Active,Advanced project,project,,,Lithium (spodumene),Lithium (spodumene),,nrcan_critical_df,POINT (-94.58258 50.266)
SK-MAIN-f79436ec,Jansen,BHP Group,-104.71415,51.8991,,Saskatchewan,project_facility,Active,Advanced project,project,,,Potash,Potash,,nrcan_critical_df,POINT (-104.71415 51.8991)
YT-MAIN-2cc9bb06,Kudz Ze Kayah,BMC (UK) Limited,-130.59894,61.47108,,Yukon,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, copper, silver, gold",,nrcan_critical_df,POINT (-130.59894 61.47108)
NU-MAIN-5154702a,Mary River,Baffinland Iron Mines Corporation,-78.556869,71.340446,Pond Inlet,Nunavut,active_facility,,,mining,Open-pit,Iron ore,Iron,Iron,,nrcan_mining_df,POINT (-78.556869 71.340446)
ON-MAIN-6e9be24e,Hemlo (Williams),Barrick Gold Corporation,-85.91598,48.695726,Marathon,Ontario,active_facility,,,mining,"Open-pit, underground, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (-85.91598 48.695726)
AB-MAIN-8434dce0,Baymag,Baymag Inc.,-115.210061,51.060022,,Alberta,active_facility,,,manufacturing,Plant,Base metals,Magnesium oxide,Magnesium oxide,,nrcan_manufacturing_df,POINT (-115.210061 51.060022)
NL-MAIN-895cb178,Buchans River,Buchans Resources Limited,-56.855965,48.829018,,Newfoundland and Labrador,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, copper, silver, gold",,nrcan_critical_df,POINT (-56.855965 48.829018)
NT-MAIN-6c1d6ee6,Ekati,Burgundy Diamond Mines,-110.618,64.715,Lac de Gras,Northwest Territories,active_facility,,,mining,"Underground, plant",Diamonds,Diamonds,Diamonds,,nrcan_mining_df,POINT (-110.618 64.715)
QC-MAIN-715d4318,Horizon,CVW CleanTech Inc.,-73.450825,45.57462,,Alberta,project_facility,Active,Advanced unconventional project,project,,,Zircon,"Zircon, titanium, rare earth elements",,nrcan_critical_df,POINT (-73.450825 45.57462)
AB-MAIN-2951d12e,Calgary Facility,Calgary Metal Recycling Inc.,-114.031993,51.02419,,Alberta,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-114.031993 51.02419)
NB-MAIN-0c5b40d8,Nash Creek,Callinex Mines Inc.,-66.09771,47.88939,,New Brunswick,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, silver",,nrcan_critical_df,POINT (-66.09771 47.88939)
ON-MAIN-484e4fa3,Blind River,Cameco Corporation,-83.017246,46.180896,,Ontario,active_facility,,,manufacturing,Refinery,Uranium,Uranium (trioxide),Uranium (trioxide),,nrcan_manufacturing_df,POINT (-83.017246 46.180896)
SK-MAIN-91cf5448,Cigar Lake,Cameco Corporation,-104.54123,58.06819,Waterbury Lake,Saskatchewan,active_facility,,,mining,Underground,Uranium,Uranium,Uranium,,nrcan_mining_df,POINT (-104.54123 58.06819)
SK-MAIN-bb89158f,Key Lake,Cameco Corporation,-105.647,57.207,north of Highrock Lake,Saskatchewan,active_facility,,,mining,Concentrator,Uranium,Uranium,Uranium,,nrcan_mining_df,POINT (-105.647 57.207)
SK-MAIN-d3c471e8,McArthur River,Cameco Corporation,-105.053,57.7637,north of Key Lake,Saskatchewan,active_facility,,,mining,Underground,Uranium,Uranium,Uranium,,nrcan_mining_df,POINT (-105.053 57.7637)
ON-MAIN-237587f6,Port Hope,Cameco Corporation,-78.2943,43.9429,,Ontario,active_facility,,,manufacturing,Conversion facility,Uranium,Uranium (hexafluoride,"Uranium (hexafluoride, dioxide, metals, alloys)",,nrcan_manufacturing_df,POINT (-78.2943 43.9429)
ON-MAIN-4c5c1179,Crawford,Canada Nickel Company Inc.,-81.37309,48.83972,,Ontario,project_facility,Active,Advanced project,project,,,Nickel,"Nickel, iron ore, cobalt, palladium, platinum, chromite",,nrcan_critical_df,POINT (-81.37309 48.83972)
NB-MAIN-8e04eb21,Murray Brook,Canadian Copper,-66.43167,47.52528,,New Brunswick,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, silver, copper, gold",,nrcan_critical_df,POINT (-66.43167 47.52528)
ON-MAIN-37e9571e,Thierry,Canadian Critical Minerals Inc,-90.34694,51.49667,,Ontario,project_facility,Active,Advanced project,project,,,Copper,"Copper, nickel, silver, gold, platinum, palladium",,nrcan_critical_df,POINT (-90.34694 51.49667)
NB-MAIN-3e7d42ac,Woodstock,Canadian Manganese Company Inc.,-67.64,46.18,,New Brunswick,project_facility,Active,Advanced project,project,,,Manganese,"Manganese, iron ore",,nrcan_critical_df,POINT (-67.64 46.18)
NU-MAIN-eae1621e,Ferguson Lake,Canadian North Resources Inc.,-96.83306,62.87306,,Nunavut,project_facility,Active,Advanced project,project,,,Nickel,"Nickel, copper, palladium, platinum, cobalt",,nrcan_critical_df,POINT (-96.83306 62.87306)
QC-MAIN-5ce331b8,Nunavik Nickel,Canadian Royalties Inc.,-74.1375,61.420856,Kangiqsujuaq,Quebec,active_facility,,,mining,"Open-pit, underground, concentrator",Base metals,Nickel,"Nickel, copper, platinum group metals, cobalt",,nrcan_mining_df,POINT (-74.1375 61.420856)
BC-MAIN-eba3e309,Golden Crown,Canxgold Mining Corp.,-118.59,49.09,,British Columbia,project_facility,Active,Advanced project,project,,,Gold,"Gold, copper",,nrcan_critical_df,POINT (-118.59 49.09)
BC-MAIN-e34feb4d,Kemess,Centerra Gold Inc.,-126.77117,57.05037,,British Columbia,project_facility,Active,Advanced project,project,,,Copper,"Copper, gold, silver",,nrcan_critical_df,POINT (-126.77117 57.05037)
BC-MAIN-ed23117f,Mount Milligan,Centerra Gold Inc.,-124.031,55.118,Fort St. James,British Columbia,active_facility,,,mining,"Open-pit, concentrator",Base metals and precious metals,Copper,"Copper, gold, silver",,nrcan_mining_df,POINT (-124.031 55.118)
QC-MAIN-089f3c60,Bloom Lake,Champion Iron Ltd.,-67.28,52.84,Fermont,Quebec,active_facility,,,mining,Open-pit,Iron ore,Iron,Iron,,nrcan_mining_df,POINT (-67.28 52.84)
NL-MAIN-251d6364,Beaver Brook,China Minmetals Rare Earth Group Co. Ltd.,-55.196,48.715909,Glenwood,Newfoundland and Labrador,active_facility,,,mining,"Underground, concentrator",Other metals,Antimony,Antimony,,nrcan_mining_df,POINT (-55.196 48.715909)
ON-MAIN-be399420,Thunder Bay North,Clean Air Metals Inc.,-88.931,48.79,,Ontario,project_facility,Active,Advanced project,project,,,Platinum,"Platinum, palladium, gold, nickel, copper, silver, rhodium, cobalt",,nrcan_critical_df,POINT (-88.931 48.79)
QC-MAIN-3330383b,Eldor (Ashram),Commerce Resources Corp.,-68.40417,56.94583,,Quebec,project_facility,Active,Advanced project,project,,,Rare earth elements,Rare earth elements,,nrcan_critical_df,POINT (-68.40417 56.94583)
MB-MAIN-6fca9d6d,Lynn Lake,Corazon Mining Limited,-101.03486,56.85217,,Manitoba,project_facility,Active,Advanced project,project,,,Nickel,"Nickel, copper, cobalt",,nrcan_critical_df,POINT (-101.03486 56.85217)
QC-MAIN-d4e2812a,Rose,Critical Elements Lithium Corporation,-76.172,52.022485,,Quebec,project_facility,Active,Advanced project,project,,,Lithium (spodumene),"Lithium (spodumene), tantalum",,nrcan_critical_df,POINT (-76.172 52.022485)
AB-MAIN-9a0307f6,SBH Black Shale,Critical Minerals Americas Inc,-111.90375,57.68711,,Alberta,project_facility,Active,Advanced unconventional project,project,,,Vanadium,"Vanadium, zinc, nickel, uranium, copper, cobalt, rare earth elements, scandium, lithium, molybdenum",,nrcan_critical_df,POINT (-111.90375 57.68711)
NT-MAIN-94e652a5,Gahcho Kué,De Beers Canada Inc.,-109.21194,63.44528,Lac de Gras,Northwest Territories,active_facility,,,mining,"Open-pit, plant",Diamonds,Diamonds,Diamonds,,nrcan_mining_df,POINT (-109.21194 63.44528)
BC-MAIN-382acb18,Wicheeda,Defense Metals Corp.,-122.09912,54.53141,,British Columbia,project_facility,Active,Advanced project,project,,,Rare earth elements,Rare earth elements,,nrcan_critical_df,POINT (-122.09912 54.53141)
SK-MAIN-4aef3cb2,Waterbury,Denison Mines Corp.,-104.03032,58.3478,,Saskatchewan,project_facility,Active,Advanced project,project,,,Uranium,Uranium,,nrcan_critical_df,POINT (-104.03032 58.3478)
SK-MAIN-95ec2625,Wheeler River,Denison Mines Corp.,-105.38137,57.50888,,Saskatchewan,project_facility,Active,Advanced project,project,,,Uranium,Uranium,,nrcan_critical_df,POINT (-105.38137 57.50888)
BC-MAIN-51068f3b,Kitsault Valley,Dolly Varden Silver Corporation,-129.57778,55.75361,,British Columbia,project_facility,Active,Advanced project,project,,,Gold,"Gold, silver, copper, lead",,nrcan_critical_df,POINT (-129.57778 55.75361)
AB-MAIN-7d4a0421,Bashaw District,E3 Lithium Ltd,-113.93655,51.77696,,Alberta,project_facility,Active,Advanced unconventional project,project,,,Lithium (brine),Lithium (brine),,nrcan_critical_df,POINT (-113.93655 51.77696)
SK-MAIN-26b9aaf3,EVRAZ Regina,EVRAZ North America Inc.,-104.623843,50.515263,,Saskatchewan,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (-104.623843 50.515263)
AB-MAIN-575ff9de,GenAlta Recycling Inc.,EVRAZ North America Inc.,-113.274102,53.588119,,Alberta,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-113.274102 53.588119)
MB-MAIN-c3d6d0d2,General Scrap,EVRAZ North America Inc.,-97.019187,49.928603,,Manitoba,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-97.019187 49.928603)
AB-MAIN-2a44a3b1,Navajo Metals Inc.,EVRAZ North America Inc.,-114.032869,51.001803,,Alberta,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-114.032869 51.001803)
SK-MAIN-5faf4b42,Wheat City Metals Inc.,EVRAZ North America Inc.,-104.639712,50.525046,,Saskatchewan,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-104.639712 50.525046)
QC-MAIN-f9e41c2a,Lamaque,Eldorado Gold,-77.739624,48.079221,Val-d’Or,Quebec,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,Gold,,nrcan_mining_df,POINT (-77.739624 48.079221)
ON-MAIN-6664e89b,Battery Materials Park,Electra Battery Materials Corporation,-79.62229,47.40635,,Ontario,project_facility,Active,Advanced processing project,project,,,Cobalt,"Cobalt, nickel, lithium",,nrcan_critical_df,POINT (-79.62229 47.40635)
QC-MAIN-5398dfac,Elkem Chicoutimi,Elkem Metal Canada Inc.,-71.131239,48.412769,,Quebec,active_facility,,,manufacturing,,Ferroalloys,Ferrosilicon,Ferrosilicon,,nrcan_manufacturing_df,POINT (-71.131239 48.412769)
SK-MAIN-8daee686,Muskowekwan,Encanto Potash Corporation,-104.01827,51.33382,,Saskatchewan,project_facility,Active,Advanced project,project,,,Potash,Potash,,nrcan_critical_df,POINT (-104.01827 51.33382)
QC-MAIN-2cf66e65,Becancour Plant,Euro Manganese Inc,-72.433334,46.333332,,Quebec,project_facility,Active,Advanced processing project,project,,,Manganese sulphate,Manganese sulphate,,nrcan_critical_df,POINT (-72.433334 46.333332)
ON-MAIN-7f050560,Red Lake,Evolution Mining Ltd.,-93.732922,51.050557,Balmertown,Ontario,active_facility,,,mining,"Underground, concentrator",Precious metals,Gold,"Gold, silver",,nrcan_mining_df,POINT (-93.732922 51.050557)
BC-MAIN-e1641dfb,Decar,FPX Nickel Corp.,-125.359691,54.894513,,British Columbia,project_facility,Active,Advanced project,project,,,Nickel,"Nickel, cobalt",,nrcan_critical_df,POINT (-125.359691 54.894513)
QC-MAIN-c1cc9f7c,Becancour Silicon,Ferroglobe PLC,-72.39,46.37,,Quebec,active_facility,,,manufacturing,,Ferroalloys,Silicon metal,"Silicon metal, ferrosilicon",,nrcan_manufacturing_df,POINT (-72.39 46.37)
NL-MAIN-c139de6d,Ming,FireFly Metals Ltd.,-56.087,49.915,Baie Verte,Newfoundland and Labrador,active_facility,,,mining,Underground,Base metals,Copper,"Copper, gold, silver",,nrcan_mining_df,POINT (-56.087 49.915)
NL-MAIN-842ba1b4,Nugget Pond,FireFly Metals Ltd.,-55.7753,49.845,Snook’s Arm,Newfoundland and Labrador,active_facility,,,mining,Concentrator,Base metals,Copper,Copper,,nrcan_mining_df,POINT (-55.7753 49.845)
YT-MAIN-ca488f19,Macmillan Pass,Fireweed Metals Corp.,-130.15143,63.16057,,Yukon,project_facility,Active,Advanced project,project,,,Zinc,"Zinc, lead, silver",,nrcan_critical_df,POINT (-130.15143 63.16057)
YT-MAIN-70d629b4,Mactung,Fireweed Metals Corp.,-130.1525,63.2822222222,,Yukon,project_facility,Active,Advanced project,project,,,Tungsten,Tungsten,,nrcan_critical_df,POINT (-130.1525 63.2822222222)
AB-MAIN-4eee18d1,Worsley,First Helium Inc.,-119.1341,56.507923,,Alberta,project_facility,Active,Advanced project,project,,,Helium,Helium,,nrcan_critical_df,POINT (-119.1341 56.507923)
BC-MAIN-efff21d3,Deer Horn,First Tellurium Corp.,-127.30826,53.3607,,British Columbia,project_facility,Active,Advanced project,project,,,Gold,"Gold, silver, tellurium, copper, zinc, lead",,nrcan_critical_df,POINT (-127.30826 53.3607)
SK-MAIN-0684a5d8,Patterson Lake South,Fission Uranium Corp.,-109.364,57.639,,Saskatchewan,project_facility,Active,Advanced project,project,,,Uranium,Uranium,,nrcan_critical_df,POINT (-109.364 57.639)
MB-MAIN-f7fde5b4,Minago,Flying Nickel Mining Corp.,-99.21912,54.1092,,Manitoba,project_facility,Active,Advanced project,project,,,Nickel,Nickel,,nrcan_critical_df,POINT (-99.21912 54.1092)
QC-MAIN-ae473a4e,Lac Knife,Focus Graphite Inc.,-67.18179,52.54974,,Quebec,project_facility,Active,Advanced project,project,,,Graphite,Graphite,,nrcan_critical_df,POINT (-67.18179 52.54974)
SK-MAIN-7a11ae49,McIlvenna Bay,Foran Mining Corporation,-102.89498,54.65977,,Saskatchewan,project_facility,Active,Advanced project,project,,,Copper,"Copper, zinc, gold, silver, lead",,nrcan_critical_df,POINT (-102.89498 54.65977)
AB-MAIN-ca9625ce,Fortune Minerals Refinery,Fortune Minerals Limited,-112.513502,53.797615,,Alberta,project_facility,Active,Advanced processing project,project,,,Cobalt,"Cobalt, gold, bismuth, copper",,nrcan_critical_df,POINT (-112.513502 53.797615)
NT-MAIN-b7cdf82c,NICO,Fortune Minerals Limited,-116.74583,63.55,,Northwest Territories,project_facility,Active,Advanced project,project,,,Cobalt,"Cobalt, gold, bismuth, copper",,nrcan_critical_df,POINT (-116.74583 63.55)
ON-MAIN-d47616e5,Martison,Fox River Resources Corp.,-83.414444,50.314444,,Ontario,project_facility,Active,Advanced project,project,,,Phosphate,"Phosphate, niobium",,nrcan_critical_df,POINT (-83.414444 50.314444)
ON-MAIN-c06904f0,Pakeagama,Frontier Lithium Inc.,-93.37727,52.60026,,Ontario,project_facility,Active,Advanced project,project,,,Lithium (spodumene),"Lithium (spodumene), tantalum, tin, niobium, rubidium, cesium",,nrcan_critical_df,POINT (-93.37727 52.60026)
ON-MAIN-64bbe7e6,Marathon,Generation Mining Limited,-86.3263,48.78758,,Ontario,project_facility,Active,Advanced project,project,,,Palladium,"Palladium, platinum, gold, copper, silver",,nrcan_critical_df,POINT (-86.3263 48.78758)
SK-MAIN-f2a5edd8,Vanguard,Gensource Potash Corp.,-106.21347,50.84335,,Saskatchewan,project_facility,Active,Advanced project,project,,,Potash,Potash,,nrcan_critical_df,POINT (-106.21347 50.84335)
QC-MAIN-22426144,REE Recycling Facility (Saint-Bruno),Geomega Resources Inc.,-73.340812,45.525976,,Quebec,project_facility,Active,Advanced unconventional project,project,,,Rare earth elements,Rare earth elements,,nrcan_critical_df,POINT (-73.340812 45.525976)
MB-MAIN-0d5c2cae,Selkirk Division,Gerdau Corporation,-96.911166,50.133771,,Manitoba,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-96.911166 50.133771)
ON-MAIN-92cdea80,Whitby Division,Gerdau Corporation,-78.910676,43.851906,,Ontario,active_facility,,,manufacturing,,,,,,nrcan_manufacturing_df,POINT (-78.910676 43.851906)
ON-MAIN-bddeaef0,Cambridge Mill,Gerdau S.A.,-80.28,43.37,,Ontario,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (-80.28 43.37)
MB-MAIN-b4ca1426,Manitoba Mill,Gerdau S.A.,-96.893633,50.130273,,Manitoba,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (-96.893633 50.130273)
ON-MAIN-21b6ab35,Whitby Mill,Gerdau S.A.,-78.91,43.86,,Ontario,active_facility,,,manufacturing,Electric arc furnace,Iron ore,Steel,Steel,,nrcan_manufacturing_df,POINT (-78.91 43.86)
QC-MAIN-529c96b4,CCR,Glencore Canada Corporation,-73.511778,45.627518,,Quebec,active_facility,,,manufacturing,Refinery,Base metals,Copper (cathodes),"Copper (cathodes), gold, silver, tellurium, selenium, nickel sulfate, copper sulfate, platinum group metals",,nrcan_manufacturing_df,POINT (-73.511778 45.627518)
QC-MAIN-de3d8b7b,Canadian Electrolytic Zinc Limited (CEZinc),Glencore Canada Corporation,-74.097205,45.228312,,Quebec,active_facility,,,manufacturing,Refinery,Base metals,Zinc,"Zinc, cadmium, liquid sulfur dioxide, sulfuric acid",,nrcan_manufacturing_df,POINT (-74.097205 45.228312)
