OPERATIO_E,OPERATIO_F,OWNER_E,OWNER_F,FAC_TYPE_E,FAC_TYPE_F,FAC_DESC_E,FAC_DESC_F,COMMODIT_E,COMMODIT_F,COM_DESC_E,COM_DESC_F,COM_GROU_E,COM_GROU_F,CITY_E,CITY_F,PROVINCE_E,PROVINCE_F,LATITUDE,LONGITUDE,Primary_Commodity,Commodity_Group
New Afton,New Afton,New Gold Inc.,New Gold Inc.,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Cu, Ag","Au, Cu, Ag","Gold, copper, silver","Or, cuivre, argent",Base metals and precious metals,Métaux communs et métaux précieux,Kamloops,Kamloops,British Columbia,Colombie-Britannique,50.661,-120.514,Gold,Base metals and precious metals
Red Chris,Red Chris,Newmont Corporation,Newmont Corporation,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur","Au, Cu, Ag","Au, Cu, Ag","Gold, copper, silver","Or, cuivre, argent",Base metals,Métaux communs,Kinaskan Lake,Kinaskan Lake,British Columbia,Colombie-Britannique,57.7,-129.78333,Gold,Base metals
Stall Lake,Stall Lake,Hudbay Minerals Inc.,Hudbay Minerals Inc.,(C.),(Con.),Concentrator,Concentrateur,"Au, Zn","Au, Zn","Gold, zinc","Or, zinc",Base metals and precious metals,Métaux communs et métaux précieux,Snow Lake,Snow Lake,Manitoba,Manitoba,54.85692,-99.9451,Gold,Base metals and precious metals
Lalor Lake,Lalor Lake,Hudbay Minerals Inc.,Hudbay Minerals Inc.,(U.),(Sout.),Underground,Souterraine,"Au, Zn, Cu, Ag","Au, Zn, Cu, Ag","Gold, zinc, copper, silver","Or, zinc, cuivre, argent",Base metals and precious metals,Métaux communs et métaux précieux,Snow Lake,Snow Lake,Manitoba,Manitoba,54.86667,-100.13333,Gold,Base metals and precious metals
LaRonde,LaRonde,Agnico Eagle Mines Limited,Mines Agnico Eagle Limitée,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Au, Zn, Cu, Ag, Cd","Au, Zn, Cu, Ag, Cd","Gold, zinc, copper, silver, cadmium","Or, zinc, cuivre, argent, cadmium",Precious metals,Métaux précieux,Preissac,Preissac,Quebec,Québec,48.2516,-78.428,Gold,Precious metals
Brule,Brule,Conuma Coal Resources Ltd.,Conuma Coal Resources Ltd.,(P.),(C.O.),Open-pit,Ciel ouvert,Coal (metallurgical),Charbon (métallurgique),Coal (metallurgical),Charbon (métallurgique),Coal,Charbon,Tumbler Ridge,Tumbler Ridge,British Columbia,Colombie-Britannique,55.398,-121.832,Coal (metallurgical),Coal
Willow Creek,Willow Creek,Conuma Coal Resources Ltd.,Conuma Coal Resources Ltd.,(P.),(C.O.),Open-pit,Ciel ouvert,Coal (metallurgical),Charbon (métallurgique),Coal (metallurgical),Charbon (métallurgique),Coal,Charbon,Chetwynd,Chetwynd,British Columbia,Colombie-Britannique,55.607,-122.2222,Coal (metallurgical),Coal
Wolverine,Wolverine,Conuma Coal Resources Ltd.,Conuma Coal Resources Ltd.,"(P., Plant)","(C.O., usine)","Open-pit, plant","Ciel ouvert, usine",Coal (metallurgical),Charbon (métallurgique),Coal (metallurgical),Charbon (métallurgique),Coal,Charbon,Tumbler Ridge,Tumbler Ridge,British Columbia,Colombie-Britannique,55.0861,-121.2453,Coal (metallurgical),Coal
Grande Cache,Grande Cache,CST Canada Coal Limited,CST Canada Coal Limited,"(P., U.)","(C.O., Sout.)","Open-pit, underground","Ciel ouvert, souterraine",Coal (metallurgical),Charbon (métallurgique),Coal (metallurgical),Charbon (métallurgique),Coal,Charbon,Grande Cache,Grande Cache,Alberta,Alberta,54.0333,-119.1667,Coal (metallurgical),Coal
Elkview,Elkview,Teck Resources Limited,Teck Resources Limited,(P.),(C.O.),Open-pit,Ciel ouvert,Coal (metallurgical),Charbon (métallurgique),Coal (metallurgical),Charbon (métallurgique),Coal,Charbon,Sparwood,Sparwood,British Columbia,Colombie-Britannique,49.7431,-114.805,Coal (metallurgical),Coal
Fording River,Fording River,Teck Resources Limited,Teck Resources Limited,(P.),(C.O.),Open-pit,Ciel ouvert,Coal (metallurgical),Charbon (métallurgique),Coal (metallurgical),Charbon (métallurgique),Coal,Charbon,Elkford,Elkford,British Columbia,Colombie-Britannique,50.19817,-114.830862,Coal (metallurgical),Coal
Greenhills,Greenhills,Teck Resources Limited,Teck Resources Limited,(P.),(C.O.),Open-pit,Ciel ouvert,Coal (metallurgical),Charbon (métallurgique),Coal (metallurgical),Charbon (métallurgique),Coal,Charbon,Sparwood,Sparwood,British Columbia,Colombie-Britannique,50.117858,-114.877193,Coal (metallurgical),Coal
Donkin,Donkin,Kameron Collieries ULC,Kameron Collieries ULC,(U.),(Sout.),Underground,Souterraine,"Coal (metallurgical, thermal)","Charbon (métallurgique, thermique)","Coal (metallurgical, thermal)","Charbon (métallurgique, thermique)",Coal,Charbon,Cape Breton,Cap-Breton,Nova Scotia,Nouvelle-Écosse,46.178108,-59.825861,Coal (metallurgical,Coal
Line Creek,Line Creek,Teck Resources Limited,Teck Resources Limited,(P.),(C.O.),Open-pit,Ciel ouvert,"Coal (metallurgical, thermal)","Charbon (métallurgique, thermique)","Coal (metallurgical, thermal)","Charbon (métallurgique, thermique)",Coal,Charbon,Sparwood,Sparwood,British Columbia,Colombie-Britannique,49.95,-114.7833,Coal (metallurgical,Coal
Vista,Vista,Bighorn Mining Ltd.,Bighorn Mining Ltd.,(P.),(C.O.),Open-pit,Ciel ouvert,Coal (thermal),Charbon (thermique),Coal (thermal),Charbon (thermique),Coal,Charbon,Hinton,Hinton,Alberta,Alberta,53.403506,-117.36642,Coal (thermal),Coal
Stellarton,Stellarton,Pioneer Coal Ltd.,Pioneer Coal Ltd.,(P.),(C.O.),Open-pit,Ciel ouvert,Coal (thermal),Charbon (thermique),Coal (thermal),Charbon (thermique),Coal,Charbon,Stellarton,Stellarton,Nova Scotia,Nouvelle-Écosse,45.566074,-62.682864,Coal (thermal),Coal
Coal Valley,Coal Valley,Westmoreland Coal Company,Westmoreland Coal Company,(P.),(C.O.),Open-pit,Ciel ouvert,Coal (thermal),Charbon (thermique),Coal (thermal),Charbon (thermique),Coal,Charbon,Edson,Edson,Alberta,Alberta,53.072796,-116.786616,Coal (thermal),Coal
Estevan,Estevan,Westmoreland Coal Company,Westmoreland Coal Company,(P.),(C.O.),Open-pit,Ciel ouvert,Coal (thermal),Charbon (thermique),Coal (thermal),Charbon (thermique),Coal,Charbon,Bienfait,Bienfait,Saskatchewan,Saskatchewan,49.087329,-102.864956,Coal (thermal),Coal
Genesee,Genesee,Westmoreland Coal Company,Westmoreland Coal Company,(P.),(C.O.),Open-pit,Ciel ouvert,Coal (thermal),Charbon (thermique),Coal (thermal),Charbon (thermique),Coal,Charbon,Genesee,Genesee,Alberta,Alberta,53.323876,-114.267236,Coal (thermal),Coal
Poplar River,Poplar River,Westmoreland Coal Company,Westmoreland Coal Company,(P.),(C.O.),Open-pit,Ciel ouvert,Coal (thermal),Charbon (thermique),Coal (thermal),Charbon (thermique),Coal,Charbon,Coronach,Coronach,Saskatchewan,Saskatchewan,49.217566,-105.472585,Coal (thermal),Coal
Tanco,Tanco,Sinomine Resource Grp Co. Ltd.,Sinomine Resource Grp Co. Ltd.,"(U., C., Plant)","(Sout., Con., usine)","Underground, concentrator, plant","Souterraine, concentrateur, usine","Cs, Li","Cs, Li","Cesium, lithium","Césium, lithium",Base metals,Métaux communs,Lac-du-Bonnet,Lac-du-Bonnet,Manitoba,Manitoba,50.4291,-95.4502,Cesium,Base metals
Nugget Pond,Nugget Pond,FireFly Metals Ltd.,FireFly Metals Ltd.,(C.),(Con.),Concentrator,Concentrateur,Cu,Cu,Copper,Cuivre,Base metals,Métaux communs,Snook’s Arm,Snook’s Arm,Newfoundland and Labrador,Terre-Neuve-et-Labrador,49.845,-55.7753,Copper,Base metals
Highland Valley,Highland Valley,Teck Resources Limited,Teck Resources Limited,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur","Cu, Ag, Mo","Cu, Ag, Mo","Copper, silver, molybdenum","Cuivre, argent, molybdène",Base metals,Métaux communs,Logan Lake,Logan Lake,British Columbia,Colombie-Britannique,50.4855,-121.0483,Copper,Base metals
Mount Milligan,Mount Milligan,Centerra Gold Inc.,Centerra Gold Inc.,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur","Cu, Au, Ag","Cu, Au, Ag","Copper, gold, silver","Cuivre, or, argent",Base metals and precious metals,Métaux communs et métaux précieux,Fort St. James,Fort St. James,British Columbia,Colombie-Britannique,55.118,-124.031,Copper,Base metals and precious metals
Ming,Ming,FireFly Metals Ltd.,FireFly Metals Ltd.,(U.),(Sout.),Underground,Souterraine,"Cu, Au, Ag","Cu, Au, Ag","Copper, gold, silver","Cuivre, or, argent",Base metals,Métaux communs,Baie Verte,Baie Verte,Newfoundland and Labrador,Terre-Neuve-et-Labrador,49.915,-56.087,Copper,Base metals
Copper Mountain,Copper Mountain,Hudbay Minerals Inc.,Hudbay Minerals Inc.,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur","Cu, Au, Ag","Cu, Au, Ag","Copper, gold, silver","Cuivre, or, argent",Base metals,Métaux communs,Princeton,Princeton,British Columbia,Colombie-Britannique,49.331,-120.533,Copper,Base metals
Minto,Minto,Minto Metals Corporation,Minto Metals Corporation,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur","Cu, Au, Ag","Cu, Au, Ag","Copper, gold, silver","Cuivre, or, argent",Base metals,Métaux communs,Pelly Crossing,Pelly Crossing,Yukon,Yukon,62.618875,-137.23858,Copper,Base metals
Gibraltar,Gibraltar,Taseko Mines Limited,Taseko Mines Limited,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur","Cu, Mo, Ag","Cu, Mo, Ag","Copper, molybdenum, silver","Cuivre, molybdène, argent",Base metals,Métaux communs,north of Williams Lake,au nord de Williams Lake,British Columbia,Colombie-Britannique,52.528495,-122.28716,Copper,Base metals
McCreedy West,McCreedy West,KGHM Polska Miedź S.A.,KGHM Polska Miedź S.A.,(U.),(Sout.),Underground,Souterraine,"Cu, Ni, PGM, Au, Ag, Co","Cu, Ni, MGP, Au, Ag, Co","Copper, nickel, platinum group metals, gold, silver, cobalt","Cuivre, nickel, métaux du groupe platine, or, argent, cobalt",Base metals and precious metals,Métaux communs et métaux précieux,Sudbury,Sudbury,Ontario,Ontario,46.638059,-81.39894,Copper,Base metals and precious metals
Kidd Creek,Kidd Creek,Glencore Canada Corporation,Glencore Canada Corporation,"(U., C.)","(Sout., Con.)","Underground, concentrator","Souterraine, concentrateur","Cu, Zn, Ag, Se, In","Cu, Zn, Ag, Se, In","Copper, zinc, silver, selenium, indium","Cuivre, zinc, argent, sélénium, indium",Base metals,Métaux communs,Timmins,Timmins,Ontario,Ontario,48.6894,-81.37,Copper,Base metals
Ekati,Ekati,Burgundy Diamond Mines,Burgundy Diamond Mines,"(U., Plant)","(Sout., usine)","Underground, plant","Souterraine, usine",Diamonds,Diamants,Diamonds,Diamants,Diamonds,Diamants,Lac de Gras,Lac de Gras,Northwest Territories,Territoires du Nord-Ouest,64.715,-110.618,Diamonds,Diamonds
Gahcho Kué,Gahcho Kué,De Beers Canada Inc.,De Beers Canada Inc.,"(P., Plant)","(C.O., usine)","Open-pit, plant","Ciel ouvert, usine",Diamonds,Diamants,Diamonds,Diamants,Diamonds,Diamants,Lac de Gras,Lac de Gras,Northwest Territories,Territoires du Nord-Ouest,63.44528,-109.21194,Diamonds,Diamonds
Diavik,Diavik,Rio Tinto Group,Groupe Rio Tinto,"(U., Plant)","(Sout., usine)","Underground, plant","Souterraine, usine",Diamonds,Diamants,Diamonds,Diamants,Diamonds,Diamants,Lac de Gras,Lac de Gras,Northwest Territories,Territoires du Nord-Ouest,64.495,-110.272,Diamonds,Diamonds
Renard,Renard,Stornoway Diamonds Corporation,Stornoway Diamonds Corporation,"(P., U., C.)","(C.O., Sout., Con.)","Open-pit, underground, concentrator","Ciel ouvert, souterraine, concentrateur",Diamonds,Diamants,Diamonds,Diamants,Diamonds,Diamants,Mistissini,Mistissini,Quebec,Québec,52.813913,-72.190579,Diamonds,Diamonds
Fire Lake,Fire Lake,ArcelorMittal,ArcelorMittal,(P.),(C.O.),Open-pit,Ciel ouvert,Fe,Fe,Iron,Fer,Iron ore,Minerai de fer,Fermont,Fermont,Quebec,Québec,52.352998,-67.363935,Iron,Iron ore
Mont-Wright,Mont-Wright,ArcelorMittal,ArcelorMittal,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Fe,Fe,Iron,Fer,Iron ore,Minerai de fer,Fermont,Fermont,Quebec,Québec,52.757053,-67.330058,Iron,Iron ore
Mary River,Mary River,Baffinland Iron Mines Corporation,Baffinland Iron Mines Corporation,(P.),(C.O.),Open-pit,Ciel ouvert,Fe,Fe,Iron,Fer,Iron ore,Minerai de fer,Pond Inlet,Pond Inlet,Nunavut,Nunavut,71.340446,-78.556869,Iron,Iron ore
Bloom Lake,Bloom Lake,Champion Iron Ltd.,Champion Iron Ltd.,(P.),(C.O.),Open-pit,Ciel ouvert,Fe,Fe,Iron,Fer,Iron ore,Minerai de fer,Fermont,Fermont,Quebec,Québec,52.84,-67.28,Iron,Iron ore
Carol Lake,Carol Lake,Iron Ore Company of Canada Inc.,Iron Ore Company of Canada Inc.,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Fe,Fe,Iron,Fer,Iron ore,Minerai de fer,Labrador City,Labrador City,Newfoundland and Labrador,Terre-Neuve-et-Labrador,53.039755,-66.936774,Iron,Iron ore
Scully,Scully,Tacora Resources Inc.,Tacora Resources Inc.,"(P., C.)","(C.O., Con.)","Open-pit, concentrator","Ciel ouvert, concentrateur",Fe,Fe,Iron,Fer,Iron ore,Minerai de fer,Wabush,Wabush,Newfoundland and Labrador,Terre-Neuve-et-Labrador,52.907129,-66.912573,Iron,Iron ore
DSO (3 and 4),DSO (3 et 4),Tata Steel Minerals Canada Limited,Tata Steel Minerals Canada Limitée,(P.),(C.O.),Open-pit,Ciel ouvert,Fe,Fe,Iron,Fer,Iron ore,Minerai de fer,Menihek,Menihek,Newfoundland and Labrador,Terre-Neuve-et-Labrador,54.890828,-67.081916,Iron,Iron ore
DSO (Goodwood),DSO (Goodwood),Tata Steel Minerals Canada Limited,Tata Steel Minerals Canada Limitée,(P.),(C.O.),Open-pit,Ciel ouvert,Fe,Fe,Iron,Fer,Iron ore,Minerai de fer,Schefferville,Schefferville,Quebec,Québec,55.09939,-67.34778,Iron,Iron ore
