substance_id,substance_type,substance_subtype,substance_name,ecoinvent_alias
SUB02f87054e5,Air emissions,Storage / Handling,Nitrogen oxides (expressed as nitrogen dioxide),Nitrogen oxides
SUBecb65ee457,Air emissions,Storage / Handling,Copper (and its compounds),Copper
SUB4e2db96c61,Air emissions,Storage / Handling,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUBc13efc8268,Air emissions,Storage / Handling,Phosphorus (total),Phosphorus
SUB8171af2aaf,Air emissions,Storage / Handling,Vanadium (and its compounds),Vanadium
SUBaa6f22fccd,Air emissions,Storage / Handling,Zinc (and its compounds),Zinc
SUBf398915ab1,Air emissions,Fugitive Emissions,Carbon monoxide,"Carbon monoxide, fossil"
SUB67802e8b72,Air emissions,Fugitive Emissions,Nitrogen oxides (expressed as nitrogen dioxide),Nitrogen oxides
SUB8d03a49822,Air emissions,Fugitive Emissions,PM10 - Particulate Matter <= 10 Micrometers,-
SUB3fbe0197b9,Air emissions,Fugitive Emissions,PM2.5 - Particulate Matter <= 2.5 Micrometers,"Particulates, < 2.5 um"
SUB9190b27c32,Air emissions,Fugitive Emissions,Total particulate matter,-
SUBf72670bad0,Air emissions,Fugitive Emissions,Arsenic (and its compounds),Arsenic
SUB427ac01ff6,Air emissions,Fugitive Emissions,Chromium (and its compounds),Chromium
SUB747780084b,Air emissions,Fugitive Emissions,Cobalt (and its compounds),Cobalt
SUB4edf95fedc,Air emissions,Fugitive Emissions,Copper (and its compounds),Copper
SUB50eb064e3e,Air emissions,Fugitive Emissions,Lead (and its compounds),Lead
SUB23aa5d9a31,Air emissions,Fugitive Emissions,Manganese (and its compounds),Manganese
SUB6c0b096f16,Air emissions,Fugitive Emissions,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUB0b4f0b9201,Air emissions,Fugitive Emissions,Phosphorus (total),Phosphorus
SUBe0906fb2e1,Air emissions,Fugitive Emissions,Selenium (and its compounds),Selenium
SUBf9960ab5c3,Air emissions,Fugitive Emissions,Thallium (and its compounds),Thallium
SUB2020e03c49,Air emissions,Fugitive Emissions,Vanadium (and its compounds),Vanadium
SUB14a05b05fc,Air emissions,Fugitive Emissions,Zinc (and its compounds),Zinc
SUBf8eae9e5a0,Air emissions,Fugitive Emissions,Cadmium (and its compounds),Cadmium
SUB4a34282cfa,Air emissions,Fugitive Emissions,Ethylene glycol,-
SUB04e2e5b281,Air emissions,Fugitive Emissions,Mercury (and its compounds),Mercury
SUBeb2d48b364,Air emissions,Fugitive Emissions,Volatile Organic Compounds (Total),
SUB7bc5d44ec5,Air emissions,Fugitive Emissions,Antimony (and its compounds),Antimony
SUBf757d5cfa4,Air emissions,Fugitive Emissions,Cyanides (ionic),-
SUB990fc0ed77,Air emissions,Fugitive Emissions,Hydrogen sulphide,-
SUBfeba9416c1,Air emissions,Fugitive Emissions,Total reduced sulphur (expressed as hydrogen sulphide),-
SUB4bb368d3a2,Air emissions,Fugitive Emissions,Silver (and its compounds),Silver
SUB4f12583c93,Air emissions,Fugitive Emissions,Sulphur dioxide,Sulfur dioxide
SUBc74520b8f2,Air emissions,Fugitive Emissions,Aluminum (fume or dust only),Aluminium
SUB0978c36879,Air emissions,Fugitive Emissions,i-Butyl alcohol,2-Methyl-1-propanol
SUB8c447d14c5,Air emissions,Fugitive Emissions,Hydrogen cyanide,-
SUB0ed9df2b3e,Air emissions,Fugitive Emissions,Ammonia (total),Ammonia
SUBa52f32a09e,Air emissions,Fugitive Emissions,Carbon disulphide,Carbon disulfide
SUB8257c308cf,Air emissions,Fugitive Emissions,Sulphuric acid,Sulfuric acid
SUB4be756aec1,Air emissions,Other,Carbon monoxide,"Carbon monoxide, fossil"
SUB96efc3ea67,Air emissions,Other,Nitrogen oxides (expressed as nitrogen dioxide),Nitrogen oxides
SUB3e8c376129,Air emissions,Other,PM10 - Particulate Matter <= 10 Micrometers,-
SUB2aa2337201,Air emissions,Other,PM2.5 - Particulate Matter <= 2.5 Micrometers,"Particulates, < 2.5 um"
SUB3860894ef2,Air emissions,Other,Total particulate matter,-
SUB5a8a41fad2,Air emissions,Other,Volatile Organic Compounds (Total),
SUBaef2ba0f19,Air emissions,Other,Chromium (and its compounds),Chromium
SUB40baf9c6a0,Air emissions,Other,Cobalt (and its compounds),Cobalt
SUB69858266c6,Air emissions,Other,Copper (and its compounds),Copper
SUB3fb5a8dea7,Air emissions,Other,Lead (and its compounds),Lead
SUB0a33d7a15d,Air emissions,Other,Manganese (and its compounds),Manganese
SUBeb0767987d,Air emissions,Other,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUB381082ec04,Air emissions,Other,Zinc (and its compounds),Zinc
SUB35430baf39,Air emissions,Other,Sulphur dioxide,Sulfur dioxide
SUBf85805466e,Air emissions,Other,Arsenic (and its compounds),Arsenic
SUB53711e26c7,Air emissions,Other,Cadmium (and its compounds),Cadmium
SUB026d84cf74,Air emissions,Other,Mercury (and its compounds),Mercury
SUB8ae779a7ec,Air emissions,Other,Phosphorus (total),Phosphorus
SUBb36b2f6b32,Air emissions,Other,Selenium (and its compounds),Selenium
SUBd0c79d96bc,Air emissions,Other,Vanadium (and its compounds),Vanadium
SUBf41d33e380,Air emissions,Total,Carbon monoxide,"Carbon monoxide, fossil"
SUB1cceb27223,Air emissions,Total,Nitrogen oxides (expressed as nitrogen dioxide),Nitrogen oxides
SUB3aee8fb8a4,Air emissions,Total,PM10 - Particulate Matter <= 10 Micrometers,-
SUB657a0600ae,Air emissions,Total,PM2.5 - Particulate Matter <= 2.5 Micrometers,"Particulates, < 2.5 um"
SUB1e2d16912d,Air emissions,Total,Total particulate matter,-
SUB5ccefb3e39,Air emissions,Total,Ammonia (total),Ammonia
SUB5adffa7ebc,Air emissions,Total,Arsenic (and its compounds),Arsenic
SUB10ffed5ea7,Air emissions,Total,Chromium (and its compounds),Chromium
SUB54ef51f68c,Air emissions,Total,Cobalt (and its compounds),Cobalt
SUB2e6bc77c5a,Air emissions,Total,Copper (and its compounds),Copper
SUB094b0eb706,Air emissions,Total,Cyanides (ionic),-
SUB1da4b1c930,Air emissions,Total,Lead (and its compounds),Lead
SUB298d7f31d1,Air emissions,Total,Manganese (and its compounds),Manganese
SUBf1d6dab0a8,Air emissions,Total,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUBbc6f8a0eee,Air emissions,Total,Nitric acid,Nitric acid
SUB006fd52b19,Air emissions,Total,Phosphorus (total),Phosphorus
SUB8731289ea8,Air emissions,Total,Selenium (and its compounds),Selenium
SUB6320b49b55,Air emissions,Total,Thallium (and its compounds),Thallium
SUB088ef76775,Air emissions,Total,Vanadium (and its compounds),Vanadium
SUBf96c9b7346,Air emissions,Total,Zinc (and its compounds),Zinc
SUB494f873623,Air emissions,Total,Dioxins and furans - total,-
SUBbd146173f6,Air emissions,Total,Hexachlorobenzene,"Benzene, hexachloro-"
SUBa4abac298a,Air emissions,Total,Cadmium (and its compounds),Cadmium
SUB1cd7d4cfd1,Air emissions,Total,Ethylene glycol,-
SUB6f0c103905,Air emissions,Total,Mercury (and its compounds),Mercury
SUB8f9bc0d9ef,Air emissions,Total,Volatile Organic Compounds (Total),
SUB6ad00d1ffa,Air emissions,Total,Antimony (and its compounds),Antimony
SUBea2ced1d59,Air emissions,Total,Hydrochloric acid,-
SUB56a37484c3,Air emissions,Total,Hydrogen sulphide,-
SUB4a0e72a30b,Air emissions,Total,Speciated VOC - Benzene,
SUBe99027f7b0,Air emissions,Total,Speciated VOC - Methanol,
SUB8a6dcb4568,Air emissions,Total,Speciated VOC - Propylene,
SUB64d2fa53fb,Air emissions,Total,Total reduced sulphur (expressed as hydrogen sulphide),-
SUB98aff1e157,Air emissions,Total,Carbon disulphide,Carbon disulfide
SUB72806aa1b7,Air emissions,Total,Nitrate ion in solution at pH >= 6.0,Nitrate
SUBe80a9a5cd3,Air emissions,Total,Silver (and its compounds),Silver
SUB871c021935,Air emissions,Total,Acetaldehyde,Acetaldehyde
SUB26229bc883,Air emissions,Total,Fluoranthene,Fluoranthene
SUB14c45c5991,Air emissions,Total,Hydrogen fluoride,-
SUBf20145c15e,Air emissions,Total,"PAHs, total unspeciated","Hydrocarbons, aromatic"
SUBf7a6fc4264,Air emissions,Total,Phenanthrene,Phenanthrene
SUB760892ee96,Air emissions,Total,Pyrene,Pyrene
SUBd279cf2173,Air emissions,Total,Speciated VOC - Ethanol,
SUB9adac78707,Air emissions,Total,Speciated VOC - Formaldehyde,
SUBfd1e7f5b04,Air emissions,Total,Speciated VOC - Hexane (all isomers excluding n-hexane),
SUB847fcce24a,Air emissions,Total,Sulphur dioxide,Sulfur dioxide
SUB9a68fb481f,Air emissions,Total,Sulphuric acid,Sulfuric acid
SUBa741b3c74b,Air emissions,Total,Aluminum (fume or dust only),Aluminium
SUBdd2909d84c,Air emissions,Total,Speciated VOC - Hydrotreated light distillate,
SUB3a70bb8461,Air emissions,Total,"Speciated VOC - 1,3-Butadiene",
SUB000c0a9dc3,Air emissions,Total,Speciated VOC - Toluene,
SUBeca323ab25,Air emissions,Total,Speciated VOC - Xylene (all isomers),
SUB784f076c69,Air emissions,Total,Acenaphthylene,Acenaphthylene
SUBea106d3f3b,Air emissions,Total,Fluorene,Fluorene
SUBa8bfe81cb1,Air emissions,Total,i-Butyl alcohol,2-Methyl-1-propanol
SUBc5dc0e9e57,Air emissions,Total,1-Nitropyrene,-
SUBc87470bf9a,Air emissions,Total,Methanol,Methanol
SUB22f927399b,Air emissions,Total,Quinoline,-
SUB39b96110eb,Air emissions,Total,"Speciated VOC - 1,2,4-Trimethylbenzene",
SUB02ddf975c4,Air emissions,Total,Speciated VOC - n-Hexane,
SUBfb33380b25,Air emissions,Total,Hydrogen cyanide,-
SUB44638ea4be,Air emissions,Total,Speciated VOC - Solvent naphtha medium aliphatic,
SUB6c0d44307b,Air emissions,Total,Acenaphthene,Acenaphthene
SUBd433d16e8a,Air emissions,Total,Anthracene,Anthracene
SUBd86b0884b9,Air emissions,Total,Benz[a]anthracene,Benz(a)anthracene
SUB8b22a5612d,Air emissions,Total,Benzo[a]pyrene,Benzo(a)pyrene
SUB95cbc2f5ce,Air emissions,Total,Benzo[b]fluoranthene,Benzo(b)fluoranthene
SUBcd51f9c3fb,Air emissions,Total,Benzo[ghi]perylene,Benzo(ghi)perylene
SUB5c71600401,Air emissions,Total,Benzo[k]fluoranthene,Benzo(k)fluoranthene
SUB1cb51ec687,Air emissions,Total,"Dibenz[a,h]anthracene","Dibenz(a,h)anthracene"
SUBa80eac1a64,Air emissions,Total,"Indeno[1,2,3-cd]pyrene","Indeno(1,2,3-cd)pyrene"
SUB4a1f13b936,Air emissions,Total,Formic acid,Formic acid
SUB892c1f87af,Air emissions,Total,Speciated VOC - Isopropyl alcohol,
SUBf74510cc3b,Air emissions,Total,Speciated VOC - Other glycol ethers and acetates (and their isomers),
SUBe747412bde,Water releases,Direct Discharge,Ammonia (total),Ammonia
SUBda3b537e45,Water releases,Direct Discharge,Arsenic (and its compounds),Arsenic
SUB6b21a807b3,Water releases,Direct Discharge,Cadmium (and its compounds),Cadmium
SUB775af5d399,Water releases,Direct Discharge,Chromium (and its compounds),Chromium
SUB5c64165ee7,Water releases,Direct Discharge,Cobalt (and its compounds),Cobalt
SUBb2ac39ef49,Water releases,Direct Discharge,Copper (and its compounds),Copper
SUB04755f3ad6,Water releases,Direct Discharge,Cyanides (ionic),-
SUBc63f134038,Water releases,Direct Discharge,Lead (and its compounds),Lead
SUB0634ec5726,Water releases,Direct Discharge,Manganese (and its compounds),Manganese
SUBf52bd67fa4,Water releases,Direct Discharge,Mercury (and its compounds),Mercury
SUB9e2b5a8b56,Water releases,Direct Discharge,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUBb5c79ee04f,Water releases,Direct Discharge,Nitrate ion in solution at pH >= 6.0,Nitrate
SUBf849e013a3,Water releases,Direct Discharge,Phosphorus (total),Phosphorus
SUB4b4c3dee8d,Water releases,Direct Discharge,Selenium (and its compounds),Selenium
SUBde99c49642,Water releases,Direct Discharge,Thallium (and its compounds),Thallium
SUB4631233309,Water releases,Direct Discharge,Vanadium (and its compounds),Vanadium
SUB76f288436d,Water releases,Direct Discharge,Zinc (and its compounds),Zinc
SUB7df2538703,Water releases,Direct Discharge,Antimony (and its compounds),Antimony
SUB4f4c1af86b,Water releases,Direct Discharge,Silver (and its compounds),Silver
SUBf7c7104cdd,Water releases,Direct Discharge,Fluorine,Fluorine
SUB45c1ab6e28,Water releases,Total,Ammonia (total),Ammonia
SUB7e92fa54aa,Water releases,Total,Arsenic (and its compounds),Arsenic
SUB84d8d52db8,Water releases,Total,Cadmium (and its compounds),Cadmium
SUB2d208c2b9c,Water releases,Total,Chromium (and its compounds),Chromium
SUBe96bbbbb4e,Water releases,Total,Cobalt (and its compounds),Cobalt
SUB944ef35151,Water releases,Total,Copper (and its compounds),Copper
SUB2e243f9730,Water releases,Total,Cyanides (ionic),-
SUB2b445462d4,Water releases,Total,Lead (and its compounds),Lead
SUB7d7641c4cc,Water releases,Total,Manganese (and its compounds),Manganese
SUBe25392af12,Water releases,Total,Mercury (and its compounds),Mercury
SUBac211627e9,Water releases,Total,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUB560c36f195,Water releases,Total,Nitrate ion in solution at pH >= 6.0,Nitrate
SUB156d29c7c5,Water releases,Total,Phosphorus (total),Phosphorus
SUBa4b6bc2ba0,Water releases,Total,Selenium (and its compounds),Selenium
SUB75663e6452,Water releases,Total,Thallium (and its compounds),Thallium
SUB293fe50801,Water releases,Total,Vanadium (and its compounds),Vanadium
SUBcb853fba49,Water releases,Total,Zinc (and its compounds),Zinc
SUB327dfc8f96,Water releases,Total,Antimony (and its compounds),Antimony
SUB0d0007fd66,Water releases,Total,Silver (and its compounds),Silver
SUBcdd89bf644,Water releases,Total,Fluorine,Fluorine
SUB8b39d231b7,Water releases,Receiving Waterbody (English),Ammonia (total),Ammonia
SUB4e6b6061f3,Water releases,Receiving Waterbody (English),Arsenic (and its compounds),Arsenic
SUB069ddfb297,Water releases,Receiving Waterbody (English),Cadmium (and its compounds),Cadmium
SUBff18cfb25c,Water releases,Receiving Waterbody (English),Chromium (and its compounds),Chromium
SUB9992ed449e,Water releases,Receiving Waterbody (English),Cobalt (and its compounds),Cobalt
SUBf9a5fce76c,Water releases,Receiving Waterbody (English),Copper (and its compounds),Copper
SUB6b0c1ebdfb,Water releases,Receiving Waterbody (English),Cyanides (ionic),-
SUB3b8f35b076,Water releases,Receiving Waterbody (English),Lead (and its compounds),Lead
SUB5dfba55149,Water releases,Receiving Waterbody (English),Manganese (and its compounds),Manganese
SUB4836a69f8c,Water releases,Receiving Waterbody (English),Mercury (and its compounds),Mercury
SUB1579a9b115,Water releases,Receiving Waterbody (English),Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUBd757362791,Water releases,Receiving Waterbody (English),Nitrate ion in solution at pH >= 6.0,Nitrate
SUBa1f7fab328,Water releases,Receiving Waterbody (English),Phosphorus (total),Phosphorus
SUB86ad2a6121,Water releases,Receiving Waterbody (English),Selenium (and its compounds),Selenium
SUB8201a79b03,Water releases,Receiving Waterbody (English),Thallium (and its compounds),Thallium
SUBf4ac990059,Water releases,Receiving Waterbody (English),Vanadium (and its compounds),Vanadium
SUBbd29ef4a1f,Water releases,Receiving Waterbody (English),Zinc (and its compounds),Zinc
SUB2e37376379,Water releases,Receiving Waterbody (English),Antimony (and its compounds),Antimony
SUB1d118a4bb5,Water releases,Receiving Waterbody (English),Silver (and its compounds),Silver
SUBc47a1838e5,Water releases,Receiving Waterbody (English),Fluorine,Fluorine
SUB19dd15d87c,Water releases,Receiving Waterbody (French),Ammonia (total),Ammonia
SUB59edc01947,Water releases,Receiving Waterbody (French),Arsenic (and its compounds),Arsenic
SUBf6049436b4,Water releases,Receiving Waterbody (French),Cadmium (and its compounds),Cadmium
SUB92a4966b41,Water releases,Receiving Waterbody (French),Chromium (and its compounds),Chromium
SUB65254bcbdf,Water releases,Receiving Waterbody (French),Cobalt (and its compounds),Cobalt
SUBebaa12e4c3,Water releases,Receiving Waterbody (French),Copper (and its compounds),Copper
SUBac0206edc1,Water releases,Receiving Waterbody (French),Cyanides (ionic),-
SUBe83963a5be,Water releases,Receiving Waterbody (French),Lead (and its compounds),Lead
SUB4e8c1b7674,Water releases,Receiving Waterbody (French),Manganese (and its compounds),Manganese
SUBd02a2bf2d6,Water releases,Receiving Waterbody (French),Mercury (and its compounds),Mercury
SUB42fb3ad5dd,Water releases,Receiving Waterbody (French),Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUB0d8d83e028,Water releases,Receiving Waterbody (French),Nitrate ion in solution at pH >= 6.0,Nitrate
SUB78c2d60a7e,Water releases,Receiving Waterbody (French),Phosphorus (total),Phosphorus
SUB52a61e42c5,Water releases,Receiving Waterbody (French),Selenium (and its compounds),Selenium
SUB0da40006a1,Water releases,Receiving Waterbody (French),Thallium (and its compounds),Thallium
SUB69393bd909,Water releases,Receiving Waterbody (French),Vanadium (and its compounds),Vanadium
SUB04e328f09d,Water releases,Receiving Waterbody (French),Zinc (and its compounds),Zinc
SUBd4b316d00c,Water releases,Receiving Waterbody (French),Antimony (and its compounds),Antimony
SUBab245a5175,Water releases,Receiving Waterbody (French),Silver (and its compounds),Silver
SUB1ce8ec1207,Water releases,Receiving Waterbody (French),Fluorine,Fluorine
SUBeeed0fc1fc,Land releases,Spills,Ethylene glycol,-
SUBd6d8266d53,Land releases,Spills,Thallium (and its compounds),Thallium
SUB52d4a0563f,Land releases,Spills,Arsenic (and its compounds),Arsenic
SUBaaf0e07146,Land releases,Spills,Cadmium (and its compounds),Cadmium
SUB14ef0f892b,Land releases,Spills,Cobalt (and its compounds),Cobalt
SUB2933dd7a8c,Land releases,Spills,Lead (and its compounds),Lead
SUB1f9723efe1,Land releases,Spills,Mercury (and its compounds),Mercury
SUBcfc8fc0385,Land releases,Spills,Selenium (and its compounds),Selenium
SUB5d9c6030ea,Land releases,Other,Ethylene glycol,-
SUB6b000cc1e0,Land releases,Other,Lead (and its compounds),Lead
SUB9515d94048,Land releases,Other,Manganese (and its compounds),Manganese
SUB08c64ab7cc,Land releases,Other,Methanol,Methanol
SUBbc71c9f9e5,Land releases,Other,Arsenic (and its compounds),Arsenic
SUB3032fdde61,Land releases,Other,Cadmium (and its compounds),Cadmium
SUB91cabb3d93,Land releases,Other,Chromium (and its compounds),Chromium
SUB5da09a8aca,Land releases,Other,Cobalt (and its compounds),Cobalt
SUB2587243ecd,Land releases,Other,Copper (and its compounds),Copper
SUB9bd825e211,Land releases,Other,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUBe417c9e260,Land releases,Other,Phosphorus (total),Phosphorus
SUB8da868e5ba,Land releases,Other,Selenium (and its compounds),Selenium
SUBfcf0c3380e,Land releases,Other,Thallium (and its compounds),Thallium
SUB55acce1e44,Land releases,Other,Vanadium (and its compounds),Vanadium
SUB1d47b37188,Land releases,Other,Zinc (and its compounds),Zinc
SUBaae56f7d55,Land releases,Other,Ammonia (total),Ammonia
SUB80a103db64,Land releases,Total,Ethylene glycol,-
SUBb00c95a3c8,Land releases,Total,Lead (and its compounds),Lead
SUBa139dd5e67,Land releases,Total,Thallium (and its compounds),Thallium
SUBbc6269cd66,Land releases,Total,Manganese (and its compounds),Manganese
SUB708cdfc780,Land releases,Total,Methanol,Methanol
SUB7953103ea7,Land releases,Total,Arsenic (and its compounds),Arsenic
SUB35b5eb3c52,Land releases,Total,Cadmium (and its compounds),Cadmium
SUBdbb1a7a841,Land releases,Total,Chromium (and its compounds),Chromium
SUB61454e023e,Land releases,Total,Cobalt (and its compounds),Cobalt
SUB60f53945e9,Land releases,Total,Copper (and its compounds),Copper
SUB5f2d375323,Land releases,Total,Nickel (and its compounds),"Ni, Ni 2.3E+0%, Pt 2.5E-4%, Pd 7.3E-4%, Rh 2.0E-5%, Cu 3.2E+0% in ore, in ground"
SUB5261dc1abe,Land releases,Total,Phosphorus (total),Phosphorus
SUB6db167f4ef,Land releases,Total,Selenium (and its compounds),Selenium
SUB00a57af3c6,Land releases,Total,Vanadium (and its compounds),Vanadium
SUB814dee1491,Land releases,Total,Zinc (and its compounds),Zinc
SUB4d38bc2400,Land releases,Total,Mercury (and its compounds),Mercury
SUB62361f951a,Land releases,Total,Ammonia (total),Ammonia
