substance_id,substance_name_npri,substance_name_ecoinvent
SUBb1564185a1,Speciated VOC - Hexene (all isomers),
SUB8ef8934e90,Speciated VOC - Octane (all isomers),
SUB3ba0d3857a,Speciated VOC - Pentane (all isomers),
SUBf06f810508,Speciated VOC - Pentene (all isomers),
SUBa4450d05dd,Speciated VOC - Propane,
SUB1c850ad8a7,Speciated VOC - Styrene,
SUBa78bff6698,Speciated VOC - Hydrotreated heavy naphtha,
SUB807c626483,Speciated VOC - Light aromatic solvent naphtha,
SUBea73d00036,Speciated VOC - Propyl acetate (all isomers),
SUBe292fa1a33,Speciated VOC - Stoddard solvent,
SUB36ed7c6041,Speciated VOC - 2-Butoxyethanol,
SUBf10ad6036b,Speciated VOC - Ethyl acetate,
SUB5c7a9b754c,Speciated VOC - Methyl ethyl ketone,
SUB12656b5d18,Speciated VOC - Methyl isobutyl ketone,
SUBed0cc9267f,Speciated VOC - Heavy aromatic solvent naphtha,
SUBa7a176674d,Speciated VOC - Solvent naphtha light aliphatic,
SUBb8cd42a76f,Speciated VOC - Tetrahydrofuran,
SUB67c7915ce6,Speciated VOC - n-Propanol (n-Propyl alcohol),
SUB8d0ffc8503,Speciated VOC - D-Limonene,
SUB6d31659a9e,Speciated VOC - Furfuryl alcohol,
SUBd1741978bc,Speciated VOC - Mineral spirits,
SUBb460e57ab1,Speciated VOC - Ethyltoluene (all isomers),
SUBcfba844d92,Speciated VOC - Nonane (all isomers),
SUB676c2c63d3,Speciated VOC - p-Dichlorobenzene,
SUB1078545b73,"Speciated VOC - Trimethylbenzene (all isomers excluding 1,2,4-trimethylbenzene)",
SUBcb45d8e89f,Speciated VOC - Decane  (all isomers),
SUB5dbe97d700,Speciated VOC - VM & P naphtha,
SUBb81fa0f13f,Cumene,Cumene
SUB5f445e1d71,Asbestos (friable form only),No match found
SUBb9917872cd,Sodium fluoride,No match found
SUBf65f9ded6f,Azo disperse dyes,No match found
