x,y,yearbook_table_trans,bgs_commodity_code,units,bgs_statistic_type_trans,bgs_commodity_trans,concat_table_notes_code,country_trans,bgs_sub_commodity_trans,concat_table_notes_text,country_iso2_code,erml_group,concat_figure_notes_code,country_iso3_code,erml_commodity,concat_figure_notes_text,year,pole_of_inaccessibility_longitude,erml_sub_commodity,pole_of_inaccessibility_latitude,cgi_commodity_url,yearbook_table_id,quantity
-119.677633,59.205383999999995,Mine production of cobalt,36,tonnes (metal content),Production,"cobalt, mine",1|2,Canada,,"Figures in this table relate where possible to cobalt recovered. The principal exceptions to this are Brazil and New Caledonia, the figures for which relate to cobalt in ore raised|There is frequently a considerable disparity between the cobalt content of ore raised and cobalt actually recovered",CA,Cobalt,,CAN,"Cobalt (mine production, metal content)",,2000-01-01,-119.677633,Ores and concentrates (metal content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,36,5298
-119.677633,59.205383999999995,Production of potash,118,tonnes (K20 content),Production,potash,,Canada,Chloride,,CA,Potash,,CAN,Potash,,2000-01-01,-119.677633,Chloride,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/potash,116,9202000
-119.677633,59.205383999999995,Production of Gypsum,65,tonnes (metric),Production,gypsum and plaster,1,Canada,Anhydrite,"Some countries produce large quantities of synthetic gypsum. Where possible, this output is excluded from the table.",CA,Gypsum,,CAN,Gypsum,,2000-01-01,-119.677633,Anhydrite,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/gypsum,63,178145
-119.677633,59.205383999999995,Production of ferro-alloys,74,tonnes (metric),Production,ferro-alloys,,Canada,Ferro-silicon,,CA,,#|*,CAN,,Break in series.|Estimates.,2000-01-01,-119.677633,,59.205384,,74,56000
-119.677633,59.205383999999995,Production of talc,136,tonnes (metric),Production,talc,,Canada,,,CA,Talc,,CAN,Talc,,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/talc,134,86000
-119.677633,59.205383999999995,Production of refined lead,81,tonnes (metric),Production,"lead, refined",1,Canada,,Figures relate to both primary and secondary refined lead and include the lead content of antimonial lead. Metal recovered from materials by remelting alone is excluded,CA,Lead,,CAN,"Lead, refined",,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/lead,81,284333
-119.677633,59.205383999999995,Production of refined cobalt,37,tonnes (metric),Production,"cobalt, refined",1,Canada,,"In addition to the production listed above, several countries, including the United Kingdom, Finland and France, are known to substantial amounts of cobalt compounds",CA,Cobalt,a,CAN,Cobalt (refined),Including oxides.,2000-01-01,-119.677633,Refined,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,37,4364
-119.677633,59.205383999999995,Mine production of molybdenum,99,tonnes (metal content),Production,"molybdenum, mine",1,Canada,,"In addition to the countries listed, Australia, Georgia, India, Democratic P.R. of Korea, Romania and Tajikistan are believed to produce molybdenum",CA,Molybdenum,,CAN,"Molybdenum (mine production, metal content)",,2000-01-01,-119.677633,Ores and concentrates (metal content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/molybdenum,99,7457
-119.677633,59.205383999999995,Production of coal,35,tonnes (metric),Production,coal,1,Canada,Bituminous,There is no international agreement as to the separate definition of lignite and brown coal. In some cases they are distinguished. Elsewhere both may be aggregated under one or other term,CA,,,CAN,,,2000-01-01,-119.677633,,59.205384,,33,33804234
-119.677633,59.205383999999995,Production of pig iron,72,tonnes (metric),Production,"iron, pig",1,Canada,,"The data in this table include sponge iron and direct reduced iron (DRI) , where these have been separately identified",CA,Iron and steel,,CAN,Pig iron,,2000-01-01,-119.677633,Pig iron,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/iron,72,10030000
-119.677633,59.205383999999995,Mine production of uranium,169,tonnes (metal content),Production,uranium,1,Canada,,"Excluding uranium production from decommissioning operations in France, Germany and Spain",CA,,,CAN,,,2000-01-01,-119.677633,,59.205384,,169,10683
-119.677633,59.205383999999995,Mine production of platinum group metals,113,kilograms (metal content),Production,"platinum group metals, mine",1|2|3,Canada,Other platinum metals,"Figures for metal production are only given for countries where recovery is thought to be based predominantly on domestic materials or on imported materials which have not been recorded as mine production elsewhere in the table|In addition to the countries listed, Bulgaria, China, Ethiopia, Indonesia and Philippines are believed to produce platinum group metals|Wherever possible, figures relate to quantities of platinum group metals thought to be recovered from ores originating in the country stated",CA,Platinum group metals,,CAN,"Platinum group metals (mine production, metal content)",,2000-01-01,-119.677633,Ores and concentrates (Other platinum metals content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/platinum-group,113,600
-119.677633,59.205383999999995,Mine production of silver,128,kilograms (metal content),Production,"silver, mine",1,Canada,,"Countries producing less than 1000 kg per year include Jamaica, Oman and Thailand",CA,Silver,,CAN,"Silver (mine production, metal content)",,2000-01-01,-119.677633,Ores and concentrates (metal content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/silver,128,1212386
-119.677633,59.205383999999995,Production of diamond,47,Carats,Production,diamond,1|2,Canada,,So far as possible the amounts shown include estimates for illegal production|This table does not show production of synthetic diamond,CA,Diamond,,CAN,Diamond,,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/diamond,45,2533750
-119.677633,59.205383999999995,Production of tantalum and niobium minerals,137,tonnes (metric),Production,tantalum and niobium minerals,1|2|3|4,Canada,Tantalite,"Niobium and tantalum are also recovered from tin slags. This source is particularly important in the case of tantalum and in recent years is believed to have accounted for over 60% of all tantalum recovered|Niobium and tantalum minerals are believed to be produced in Democratic Republic of the Congo, French Guiana, Ivory Coast, Russia and Zambia. Minor quantities are produced in Bolivia.|No detailed information on the production of tantalum bearing tin slags is available but the major producer is Thailand and small amounts from Australia, Brazil, Nigeria, Portugal, and D R Congo|The figures in this table refer to gross tonnage of tantalum and niobium concentrates",CA,,e,CAN,,"Content of Nb, Ta: 3%, 30%.",2000-01-01,-119.677633,,59.205384,,137,190
-119.677633,59.205383999999995,Production of salt,124,tonnes (metric),Production,salt,1|2,Canada,Other salt,Salt is known to be produced in many countries for which statistics are not available.|This table does not include production of refined salt,CA,Salt,e,CAN,Salt,Including salt in brine.,2000-01-01,-119.677633,Other salt,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/salt,122,2695422
-119.677633,59.205383999999995,Mine production of zinc,153,tonnes (metal content),Production,"zinc, mine",,Canada,,,CA,Zinc,,CAN,"Zinc (mine production, metal content)",,2000-01-01,-119.677633,Ores and concentrates (metal content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/zinc,153,1002242
-119.677633,59.205383999999995,Mine production of antimony,6,tonnes (metal content),Production,"antimony, mine",1|2,Canada,,"In addition, Hungary is believed to produce antimony|This table includes antimony content of antimonial lead alloys",CA,Antimony,,CAN,"Antimony (mine production, metal production)",,2000-01-01,-119.677633,Ores and concentrates (metal content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/antimony,6,433
-119.677633,59.205383999999995,Smelter/refinery production of nickel,103,tonnes (metric),Production,"nickel, smelter/refinery",1,Canada,,"Data relate to refined nickel plus the nickel content of ferro-nickel, nickel oxide and nickel salts",CA,Nickel,,CAN,"Nickel, smelter/refinery",,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/nickel,103,134225
-119.677633,59.205383999999995,Smelter production of copper,41,tonnes (metric),Production,"copper, smelter",1,Canada,,"This table shows primary metal in the form of blister and anode produced from concentrates, and may include copper produced from scrap but this is excluded when it can be separately identified",CA,Copper,,CAN,"Copper, smelter",,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,41,543593
-119.677633,59.205383999999995,Production of asbestos,12,tonnes (metric),Production,asbestos,1,Canada,Chrysotile,"In addition to the countries listed, Romania is believed to produce asbestos",CA,,,CAN,,,2000-01-01,-119.677633,,59.205384,,12,307000
-119.677633,59.205383999999995,Production of refined selenium,166,tonnes (metric),Production,"selenium, refined",1,Canada,,"In addition to the countries listed, Australia, the Republic of Korea and Zimbabwe are believed to produce selenium metal",CA,Selenium,,CAN,Selenium metal,,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/selenium,166,335
-119.677633,59.205383999999995,Production of tantalum and niobium minerals,137,tonnes (metric),Production,tantalum and niobium minerals,1|2|3|4,Canada,Pyrochlore,"Niobium and tantalum are also recovered from tin slags. This source is particularly important in the case of tantalum and in recent years is believed to have accounted for over 60% of all tantalum recovered|Niobium and tantalum minerals are believed to be produced in Democratic Republic of the Congo, French Guiana, Ivory Coast, Russia and Zambia. Minor quantities are produced in Bolivia.|No detailed information on the production of tantalum bearing tin slags is available but the major producer is Thailand and small amounts from Australia, Brazil, Nigeria, Portugal, and D R Congo|The figures in this table refer to gross tonnage of tantalum and niobium concentrates",CA,Tantalum and niobium,*|c,CAN,Pyrochlore,"Estimates.|Content of Nb, Ta: 42%,-.",2000-01-01,-119.677633,,59.205384,http://www.opengis.net/def/nil/ogc/0/missing,137,5400
-119.677633,59.205383999999995,Production of coal,35,tonnes (metric),Production,coal,1,Canada,Sub-bituminous,There is no international agreement as to the separate definition of lignite and brown coal. In some cases they are distinguished. Elsewhere both may be aggregated under one or other term,CA,,,CAN,,,2000-01-01,-119.677633,,59.205384,,33,24168751
-119.677633,59.205383999999995,Production of graphite,62,tonnes (metric),Production,graphite,1|2,Canada,,"In addition to the countries listed, Egypt, Namibia and the USA are believed to produce graphite|This table includes all forms of amorphous and crystalline graphite but excludes synthetic material",CA,Graphite,,CAN,Graphite,,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/graphite,60,22610
-119.677633,59.205383999999995,Production of coal,35,tonnes (metric),Production,coal,1,Canada,Lignite,There is no international agreement as to the separate definition of lignite and brown coal. In some cases they are distinguished. Elsewhere both may be aggregated under one or other term,CA,,,CAN,,,2000-01-01,-119.677633,,59.205384,,33,11190106
-119.677633,59.205383999999995,Production of primary aluminium,3,tonnes (metric),Production,"aluminium, primary",,Canada,,,CA,"Bauxite, alumina and aluminium",,CAN,Aluminium,,2000-01-01,-119.677633,Primary metal,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/aluminium,3,2373460
-119.677633,59.205383999999995,Production of refined copper,42,tonnes (metric),Production,"copper, refined",1|2,Canada,,"Figures relate to both primary and secondary refined copper, whether electrolytic or fire refined. Metal recovered from secondary materials by remelting alone is excluded|In addition to the countries listed, Albania and Colombia produce refined copper",CA,Copper,,CAN,"Copper, refined",,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,42,551393
-119.677633,59.205383999999995,Production of slab zinc,154,tonnes (metric),Production,"zinc, slab",,Canada,,,CA,Zinc,,CAN,"Zinc, slab",,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/zinc,154,779892
-119.677633,59.205383999999995,Mine production of copper,40,tonnes (metal content),Production,"copper, mine",,Canada,,,CA,Copper,,CAN,"Copper (mine production, metal content)",,2000-01-01,-119.677633,Ores and concentrates (metal content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/copper,40,633855
-119.677633,59.205383999999995,Production of crude steel,73,tonnes (metric),Production,"steel, crude",1|2,Canada,,"Small amounts of steel are believed to be produced in Azerbaijan, DR Congo, Estonia, Ghana, Kenya, Mauritania, Morocco, Myanmar, Nigeria, Sri Lanka, Uganda|Unless otherwise indicated, these figures include production from scrap",CA,Iron and steel,,CAN,Crude steel,,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/ferrous-metal,73,16496339
-119.677633,59.205383999999995,Mine production of gold,57,kilograms,Production,"gold, mine",1|2|3,Canada,,"Greece and Norway are believed to produce gold|In addition to the countries listed, Central African Republic,|In several countries substantial amounts of gold produced in small operations are not recorded in the official statistics used when compiling this table",CA,Gold,,CAN,"Gold (mine production, metal production)",,2000-01-01,-119.677633,Ores and concentrates (metal content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/gold,57,155538
-119.677633,59.205383999999995,Mine production of bismuth,21,tonnes (metal content),Production,"bismuth, mine",1|2|3,Canada,,"In addition to the countries listed, Brazil is believed to produce bismuth|Production for some countries may include bismuth produced from imported ores but it is thought that any resulting duplication is insignificant in the countries shown|The figures in this table are in some instances derived from reported bismuth content of refined and impure metal plus recoverable in ores and concentrates exported",CA,Bismuth,,CAN,"Bismuth (mine production, metal content)",,2000-01-01,-119.677633,mine production (metal content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/bismuth,21,243
-119.677633,59.205383999999995,Production of crude petroleum,109,tonnes (metric),Production,"petroleum, crude",1,Canada,,The figures shown in this table include natural gas liquids,CA,,,CAN,,,2000-01-01,-119.677633,,59.205384,,106,111600000
-119.677633,59.205383999999995,Production of mica,98,tonnes (metric),Production,mica,1,Canada,,"In addition to the countries listed, Romania is believed to produce mica",CA,Mica,*,CAN,Mica,Estimates.,2000-01-01,-119.677633,Mica,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,30000
-119.677633,59.205383999999995,Production of refined tellurium,168,tonnes (metric),Production,"tellurium, refined",1,Canada,,"In addition to the countries listed, Germany is believed to produce tellurium metal",CA,Tellurium,,CAN,Tellurium,,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/tellurium,168,53
-119.677633,59.205383999999995,Production of natural gas,107,million cubic metres,Production,natural gas,1,Canada,,So far as possible the figures in this table exclude flared or reinjected gas,CA,,,CAN,,,2000-01-01,-119.677633,,59.205384,,107,176206
-119.677633,59.205383999999995,Production of white arsenic,9,tonnes (metric),Production,"arsenic, white",1|2,Canada,,"In addition to the countries listed, Austria, Finland, Hungary, Spain and the United Kingdom are believed to produce arsenic|This table includes calculated trioxide equivalent of arsenic metal produced except where this would involve double counting",CA,Arsenic,*,CAN,White arsenic,Estimates.,2000-01-01,-119.677633,White arsenic,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/arsenic,9,250
-119.677633,59.205383999999995,Production of primary magnesium metal,163,tonnes (metric),Production,"magnesium metal, primary",,Canada,,,CA,Magnesium,*|a,CAN,"Magnesium, primary metal",Estimates.|Capacity.,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,163,64000
-119.677633,59.205383999999995,Mine production of platinum group metals,113,kilograms (metal content),Production,"platinum group metals, mine",1|2|3,Canada,Palladium,"Figures for metal production are only given for countries where recovery is thought to be based predominantly on domestic materials or on imported materials which have not been recorded as mine production elsewhere in the table|In addition to the countries listed, Bulgaria, China, Ethiopia, Indonesia and Philippines are believed to produce platinum group metals|Wherever possible, figures relate to quantities of platinum group metals thought to be recovered from ores originating in the country stated",CA,Platinum group metals,,CAN,"Platinum group metals (mine production, metal content)",,2000-01-01,-119.677633,Ores and concentrates (Palladium content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/palladium,113,9500
-119.677633,59.205383999999995,Production of barytes,17,tonnes (metric),Production,barytes,1|2,Canada,,"In addition to the countries listed, Cuba is believed to produce barytes|This table may include small quantities of witherite",CA,Barytes,,CAN,Barytes,,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/baryte,15,15000
-119.677633,59.205383999999995,Production of ferro-alloys,74,tonnes (metric),Production,ferro-alloys,,Canada,Silicon metal,,CA,,*,CAN,,Estimates.,2000-01-01,-119.677633,,59.205384,,74,30000
-119.677633,59.205383999999995,Production of Gypsum,65,tonnes (metric),Production,gypsum and plaster,1,Canada,,"Some countries produce large quantities of synthetic gypsum. Where possible, this output is excluded from the table.",CA,Gypsum,,CAN,Gypsum,,2000-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/gypsum,63,9054000
-119.677633,59.205383999999995,Production of salt,124,tonnes (metric),Production,salt,1|2,Canada,Rock salt,Salt is known to be produced in many countries for which statistics are not available.|This table does not include production of refined salt,CA,Salt,,CAN,Salt,,2000-01-01,-119.677633,Rock salt,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/salt,122,9298285
-119.677633,59.205383999999995,Mine production of tungsten,147,tonnes (metal content),Production,"tungsten, mine",,Canada,,,CA,Tungsten,,CAN,"Tungsten (mine production, metal content)",,2000-01-01,-119.677633,Ores and concentrates (metal content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/tungsten,147,0
-119.677633,59.205383999999995,Production of ferro-alloys,74,tonnes (metric),Production,ferro-alloys,,Canada,Silicon metal,,CA,,*,CAN,,Estimates.,2001-01-01,-119.677633,,59.205384,,74,30000
-119.677633,59.205383999999995,Production of pig iron,72,tonnes (metric),Production,"iron, pig",1,Canada,,"The data in this table include sponge iron and direct reduced iron (DRI) , where these have been separately identified",CA,Iron and steel,,CAN,Pig iron,,2001-01-01,-119.677633,Pig iron,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/iron,72,8302141
-119.677633,59.205383999999995,Production of salt,124,tonnes (metric),Production,salt,1|2,Canada,Rock salt,Salt is known to be produced in many countries for which statistics are not available.|This table does not include production of refined salt,CA,Salt,,CAN,Salt,,2001-01-01,-119.677633,Rock salt,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/salt,122,11503494
-119.677633,59.205383999999995,Production of refined tellurium,168,tonnes (metric),Production,"tellurium, refined",1,Canada,,"In addition to the countries listed, Germany is believed to produce tellurium metal",CA,Tellurium,,CAN,Tellurium,,2001-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/tellurium,168,51
-119.677633,59.205383999999995,Mine production of platinum group metals,113,kilograms (metal content),Production,"platinum group metals, mine",1|2|3,Canada,Palladium,"Figures for metal production are only given for countries where recovery is thought to be based predominantly on domestic materials or on imported materials which have not been recorded as mine production elsewhere in the table|In addition to the countries listed, Bulgaria, China, Ethiopia, Indonesia and Philippines are believed to produce platinum group metals|Wherever possible, figures relate to quantities of platinum group metals thought to be recovered from ores originating in the country stated",CA,Platinum group metals,,CAN,"Platinum group metals (mine production, metal content)",,2001-01-01,-119.677633,Ores and concentrates (Palladium content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/palladium,113,12800
-119.677633,59.205383999999995,Production of crude petroleum,109,tonnes (metric),Production,"petroleum, crude",1,Canada,,The figures shown in this table include natural gas liquids,CA,,,CAN,,,2001-01-01,-119.677633,,59.205384,,106,112500000
-119.677633,59.205383999999995,Production of primary magnesium metal,163,tonnes (metric),Production,"magnesium metal, primary",,Canada,,,CA,Magnesium,*,CAN,"Magnesium, primary metal",Estimates.,2001-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesium,163,65000
-119.677633,59.205383999999995,Production of refined lead,81,tonnes (metric),Production,"lead, refined",1,Canada,,Figures relate to both primary and secondary refined lead and include the lead content of antimonial lead. Metal recovered from materials by remelting alone is excluded,CA,Lead,,CAN,"Lead, refined",,2001-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/lead,81,230928
-119.677633,59.205383999999995,Production of Gypsum,65,tonnes (metric),Production,gypsum and plaster,1,Canada,,"Some countries produce large quantities of synthetic gypsum. Where possible, this output is excluded from the table",CA,Gypsum,,CAN,Gypsum,,2001-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/gypsum,63,8331000
-119.677633,59.205383999999995,Mine production of bismuth,21,tonnes (metal content),Production,"bismuth, mine",1|2|3,Canada,,"In addition to the countries listed, Brazil is believed to produce bismuth|Production for some countries may include bismuth produced from imported ores but it is thought that any resulting duplication is insignificant in the countries shown|The figures in this table are in some instances derived from reported bismuth content of refined and impure metal plus recoverable in ores and concentrates exported",CA,Bismuth,,CAN,"Bismuth (mine production, metal content)",,2001-01-01,-119.677633,mine production (metal content),59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/bismuth,21,310
-119.677633,59.205383999999995,Production of natural gas,107,million cubic metres,Production,natural gas,1,Canada,,So far as possible the figures in this table exclude flared or reinjected gas,CA,,,CAN,,,2001-01-01,-119.677633,,59.205384,,107,179216
-119.677633,59.205383999999995,Production of mica,98,tonnes (metric),Production,mica,1,Canada,,"In addition to the countries listed, Romania is believed to produce mica",CA,Mica,*,CAN,Mica,Estimates.,2001-01-01,-119.677633,Mica,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/mica,96,17500
-119.677633,59.205383999999995,Production of ferro-alloys,74,tonnes (metric),Production,ferro-alloys,,Canada,Ferro-silicon,,CA,,*,CAN,,Estimates.,2001-01-01,-119.677633,,59.205384,,74,56000
-119.677633,59.205383999999995,Production of white arsenic,9,tonnes (metric),Production,"arsenic, white",1|2,Canada,,"In addition to the countries listed, Austria, Finland, Hungary, Spain and the United Kingdom are believed to produce arsenic|This table includes calculated trioxide equivalent of arsenic metal produced except where this would involve double counting",CA,Arsenic,*,CAN,White arsenic,Estimates.,2001-01-01,-119.677633,White arsenic,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/arsenic,9,250
-119.677633,59.205383999999995,Production of barytes,17,tonnes (metric),Production,barytes,1|2,Canada,,"In addition to the countries listed, Cuba is believed to produce barytes|This table may include small quantities of witherite",CA,Barytes,,CAN,Barytes,,2001-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/baryte,15,27000
-119.677633,59.205383999999995,Production of magnesite,87,tonnes (metric),Production,magnesite,1,Canada,,"In addition to the countries listed, Bulgaria is believed to produce magnesite",CA,Magnesite,*|b,CAN,Magnesite and magnesia,Estimates.|Officially described as magnesitic dolomite and brucite.,2001-01-01,-119.677633,Magnesite,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/magnesite,87,165000
-119.677633,59.205383999999995,Production of iron ore,71,tonnes (metric),Production,iron ore,,Canada,,,CA,Iron and steel,g,CAN,Iron ore,Including by-product iron ore.,2001-01-01,-119.677633,,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/iron-ore,69,29152000
-119.677633,59.205383999999995,Production of refined cobalt,37,tonnes (metric),Production,"cobalt, refined",1,Canada,,"In addition to the production listed above, several countries, including the United Kingdom, Finland and France, are known to substantial amounts of cobalt compounds",CA,Cobalt,a,CAN,Cobalt (refined),Including oxides.,2001-01-01,-119.677633,Refined,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/cobalt,37,4378
-119.677633,59.205383999999995,Production of titanium minerals,144,tonnes (metric),Production,titanium minerals,1|2,Canada,Ilmenite,"Some ilmenite is converted to synthetic rutile in Australia, India, Japan, Taiwan and USA|The figures in this table refer to gross tonnage of titanium concentrates",CA,Titanium,*|a|b,CAN,Titanium minerals,"Estimates.|Canada produces some ilmenite which is sold as such and not processed into slag, but tonnages are small.|It is believed that the majority of this is processed into slag.",2001-01-01,-119.677633,Ilmenite,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/ilmenite,144,2300000
-119.677633,59.205383999999995,Production of potash,118,tonnes (K20 content),Production,potash,,Canada,Chloride,,CA,Potash,,CAN,Potash,,2001-01-01,-119.677633,Chloride,59.205384,http://resource.geosciml.org/classifier/cgi/commodity-code/potash,116,8181000
